clean_id	label	homology_group	oof_fold	quality_tier	label_action	v2_03_training_weight	v2_03_use	audit_role
HPCLAS_TRAIN_N_000016	0	HPCLAS_TRAIN_N_000016	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000017	0	HPCLAS_TRAIN_N_000017	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000018	0	HPCLAS_TRAIN_N_000018	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000019	0	HPCLAS_TRAIN_P_002956	1	B_ambiguous	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000020	0	HPCLAS_TRAIN_N_000020	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000021	0	HPCLAS_TRAIN_N_000021	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000022	0	HPCLAS_TRAIN_N_000022	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000023	0	HPCLAS_TRAIN_N_000023	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000024	0	HPCLAS_TRAIN_N_000024	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000025	0	HPCLAS_TRAIN_N_000025	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000026	0	HPCLAS_TRAIN_N_000026	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000027	0	HPCLAS_TRAIN_N_000027	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000028	0	HPCLAS_TRAIN_N_000028	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000030	0	HPCLAS_TRAIN_N_000030	4	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000031	0	HPCLAS_TRAIN_N_000031	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000032	0	HPCLAS_TRAIN_N_000032	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000033	0	HPCLAS_TRAIN_N_000033	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000034	0	HPCLAS_TRAIN_N_000034	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000035	0	HPCLAS_TRAIN_N_000035	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000036	0	HPCLAS_TRAIN_N_000036	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000037	0	HPCLAS_TRAIN_N_000037	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000038	0	HPCLAS_TRAIN_N_000038	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000039	0	HPCLAS_TRAIN_N_000039	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000040	0	HPCLAS_TRAIN_N_000040	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000041	0	HPCLAS_TRAIN_N_000041	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000042	0	HPCLAS_TRAIN_N_000042	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000043	0	HPCLAS_TRAIN_N_000043	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000044	0	HPCLAS_TRAIN_N_000044	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000045	0	HPCLAS_TRAIN_N_000045	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000046	0	HPCLAS_TRAIN_N_000046	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000047	0	HPCLAS_TRAIN_N_000047	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000048	0	HPCLAS_TRAIN_N_000048	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000049	0	HPCLAS_TRAIN_P_001569	0	B_ambiguous	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000051	0	HPCLAS_TRAIN_P_003059	4	B_ambiguous	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000053	0	HPCLAS_TRAIN_N_000053	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000054	0	HPCLAS_TRAIN_N_000054	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000055	0	HPCLAS_TRAIN_N_000055	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000056	0	HPCLAS_TRAIN_N_000056	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000058	0	HPCLAS_TRAIN_N_000058	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000059	0	HPCLAS_TRAIN_N_000059	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000060	0	HPCLAS_TRAIN_N_000060	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000061	0	HPCLAS_TRAIN_N_000061	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000062	0	HPCLAS_TRAIN_N_000062	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000063	0	HPCLAS_TRAIN_N_000063	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000065	0	HPCLAS_TRAIN_N_000065	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000066	0	HPCLAS_TRAIN_N_000066	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000067	0	HPCLAS_TRAIN_N_000067	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000069	0	HPCLAS_TRAIN_N_000069	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000070	0	HPCLAS_TRAIN_N_000070	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000071	0	HPCLAS_TRAIN_N_000071	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000072	0	HPCLAS_TRAIN_N_000072	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000073	0	HPCLAS_TRAIN_N_000073	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000075	0	HPCLAS_TRAIN_N_000075	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000076	0	HPCLAS_TRAIN_N_000076	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000078	0	HPCLAS_TRAIN_N_000078	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000079	0	HPCLAS_TRAIN_N_000079	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000080	0	HPCLAS_TRAIN_N_000080	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000082	0	HPCLAS_TRAIN_N_000082	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000083	0	HPCLAS_TRAIN_N_000083	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000084	0	HPCLAS_TRAIN_N_000084	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000085	0	HPCLAS_TRAIN_N_000085	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000086	0	HPCLAS_TRAIN_N_000086	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000088	0	HPCLAS_TRAIN_N_000088	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000090	0	HPCLAS_TRAIN_N_000090	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000093	0	HPCLAS_TRAIN_N_000093	2	B_ambiguous	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000094	0	HPCLAS_TRAIN_N_000094	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000095	0	HPCLAS_TRAIN_N_000095	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000096	0	HPCLAS_TRAIN_N_000096	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000097	0	HPCLAS_TRAIN_N_000097	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000098	0	HPCLAS_TRAIN_N_000098	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000099	0	HPCLAS_TRAIN_N_000099	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000101	0	HPCLAS_TRAIN_N_000101	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000102	0	HPCLAS_TRAIN_N_000102	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000103	0	HPCLAS_TRAIN_N_000103	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000105	0	HPCLAS_TRAIN_N_000105	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000107	0	HPCLAS_TRAIN_N_000107	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000109	0	HPCLAS_TRAIN_N_000109	4	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000110	0	HPCLAS_TRAIN_N_000110	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000111	0	HPCLAS_TRAIN_N_000111	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000112	0	HPCLAS_TRAIN_N_000112	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000113	0	HPCLAS_TRAIN_N_000113	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000114	0	HPCLAS_TRAIN_N_000114	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000115	0	HPCLAS_TRAIN_N_000115	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000116	0	HPCLAS_TRAIN_N_000116	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000117	0	HPCLAS_TRAIN_N_000117	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000118	0	HPCLAS_TRAIN_N_000118	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000119	0	HPCLAS_TRAIN_N_000119	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000123	0	HPCLAS_TRAIN_N_000123	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000124	0	HPCLAS_TRAIN_N_000124	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000125	0	HPCLAS_TRAIN_N_000125	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000126	0	HPCLAS_TRAIN_N_000126	4	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000128	0	HPCLAS_TRAIN_N_000128	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000129	0	HPCLAS_TRAIN_N_000129	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000130	0	HPCLAS_TRAIN_N_000130	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000131	0	HPCLAS_TRAIN_N_000131	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000132	0	HPCLAS_TRAIN_N_000132	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000133	0	HPCLAS_TRAIN_N_000133	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000134	0	HPCLAS_TRAIN_N_000134	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000135	0	HPCLAS_TRAIN_N_000135	4	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000136	0	HPCLAS_TRAIN_N_000136	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000138	0	HPCLAS_TRAIN_N_000138	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000139	0	HPCLAS_TRAIN_N_000139	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000140	0	HPCLAS_TRAIN_N_000140	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000141	0	HPCLAS_TRAIN_N_000141	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000142	0	HPCLAS_TRAIN_N_000142	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000143	0	HPCLAS_TRAIN_P_000687	0	B_ambiguous	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000144	0	HPCLAS_TRAIN_N_000144	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000145	0	HPCLAS_TRAIN_N_000145	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000147	0	HPCLAS_TRAIN_N_000147	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000148	0	HPCLAS_TRAIN_N_000148	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000150	0	HPCLAS_TRAIN_N_000150	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000151	0	HPCLAS_TRAIN_N_000151	2	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000152	0	HPCLAS_TRAIN_N_000152	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000153	0	HPCLAS_TRAIN_N_000153	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000154	0	HPCLAS_TRAIN_N_000154	2	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000156	0	HPCLAS_TRAIN_N_000156	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000157	0	HPCLAS_TRAIN_N_000157	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000158	0	HPCLAS_TRAIN_N_000158	4	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000159	0	HPCLAS_TRAIN_N_000159	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000160	0	HPCLAS_TRAIN_N_000160	4	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000161	0	HPCLAS_TRAIN_N_000161	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000162	0	HPCLAS_TRAIN_N_000162	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000163	0	HPCLAS_TRAIN_N_000163	3	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000164	0	HPCLAS_TRAIN_N_000164	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000165	0	HPCLAS_TRAIN_N_000165	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000166	0	HPCLAS_TRAIN_N_000166	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000167	0	HPCLAS_TRAIN_N_000167	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000168	0	HPCLAS_TRAIN_N_000168	1	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000169	0	HPCLAS_TRAIN_N_000169	1	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
HPCLAS_TRAIN_N_000171	0	HPCLAS_TRAIN_N_000171	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000172	0	HPCLAS_TRAIN_N_000172	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000173	0	HPCLAS_TRAIN_N_000173	0	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000174	0	HPCLAS_TRAIN_N_000174	3	D_hard_sample	KEEP_SOURCE_LABEL	1.0	INCLUDE	DIAGNOSTIC_STRATUM
HPCLAS_TRAIN_N_000175	0	HPCLAS_TRAIN_N_000175	0	A_clean_core	KEEP_SOURCE_LABEL	1.0	INCLUDE	PRIMARY_AND_DIAGNOSTIC
