clean_id	label	homology_group	oof_fold	p_esmc_v1	p_deepsaltpro	p_aac_catboost	mean_label_support	mixed_label_homology_group	audit_reasons
HPCLAS_TRAIN_N_003453	0	HPCLAS_TRAIN_N_003453	0	0.9949007034301758	0.8593935966491699	0.9728108741759944	0.0576316085815532	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_004471	0	HPCLAS_TRAIN_N_004471	3	0.9971581697463988	0.890155553817749	0.9388636883275324	0.0579408627027732	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000602	0	HPCLAS_TRAIN_N_000602	3	0.9581401348114014	0.8942805528640747	0.9713581646939804	0.0587403825435145	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_001301	1	HPCLAS_TRAIN_P_001301	0	0.0048571801744401	0.1120489463210105	0.07050141672103	0.0624691810721602	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003664	0	HPCLAS_TRAIN_N_003664	3	0.9996814727783204	0.8939505219459534	0.918240529604448	0.0627091585570927	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000658	0	HPCLAS_TRAIN_N_000658	3	0.9951125979423524	0.909996211528778	0.8996357515807153	0.0650851463160514	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_001471	0	HPCLAS_TRAIN_N_001471	2	0.9999994039535522	0.8530998229980469	0.9455273519786392	0.0671244736899205	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_007234	1	HPCLAS_TRAIN_P_007234	3	0.0010667579481378	0.1481139808893203	0.0548211418453745	0.0680006268942775	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003845	0	HPCLAS_TRAIN_N_003845	1	1.0	0.8127599954605103	0.9831722480609216	0.068022585492856	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_007409	1	HPCLAS_TRAIN_P_007409	2	0.001392307691276	0.1153221353888511	0.0877369241022217	0.0681504557274496	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_002716	0	HPCLAS_TRAIN_N_002716	4	0.9999121427536012	0.8331269025802612	0.9575239040948788	0.0698123501904196	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003903	0	HPCLAS_TRAIN_P_007088	1	0.9992765784263612	0.831989586353302	0.9592519149592684	0.0698273067536894	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_001578	0	HPCLAS_TRAIN_N_001578	4	0.9989627599716188	0.8055069446563721	0.9852589916209478	0.0700904345836871	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000236	0	HPCLAS_TRAIN_N_000236	2	0.9795082807540894	0.8184462785720825	0.99031586424508	0.0705765254762493	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_007253	1	HPCLAS_TRAIN_N_001158	1	0.0761591792106628	0.1117896810173988	0.023984518846724	0.0706444596915952	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_001598	0	HPCLAS_TRAIN_N_001598	3	0.9898605942726136	0.9400365352630616	0.8577522601464078	0.0707835367726389	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_001820	0	HPCLAS_TRAIN_N_001820	3	0.9684970378875732	0.8185986280441284	0.9938806871456624	0.0730078823075453	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_004910	0	HPCLAS_TRAIN_N_004910	4	0.9546923637390136	0.8775548934936523	0.9457389370885008	0.0740046018929444	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_000001	1	HPCLAS_TRAIN_P_000001	2	0.0021256082691252	0.1526309549808502	0.075311246231978	0.0766892698273177	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_003566	1	HPCLAS_TRAIN_P_003566	1	0.004520006943494	0.1823928952217102	0.0575950677253606	0.0815026566301882	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_005103	0	HPCLAS_TRAIN_N_005103	1	0.996487021446228	0.8177074193954468	0.9408154549131212	0.0816633680817346	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_000435	1	HPCLAS_TRAIN_P_000435	2	0.0400668494403362	0.1272562146186828	0.0777852920484171	0.0817027853691453	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_000088	1	HPCLAS_TRAIN_P_000088	4	8.099019032670185e-05	0.1437725722789764	0.112887927785733	0.0855804967516787	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003595	0	HPCLAS_TRAIN_N_003595	2	0.9232526421546936	0.8575137853622437	0.9593236264815096	0.0866366486671843	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_001539	1	HPCLAS_TRAIN_P_001539	1	0.0041689393110573	0.164290577173233	0.0951026707716494	0.0878540624186465	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_006192	1	HPCLAS_TRAIN_P_006192	2	0.0020423952955752	0.1739294528961181	0.0886101172557358	0.0881939884824763	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_002247	1	HPCLAS_TRAIN_N_003434	3	0.0222049765288829	0.1879361271858215	0.0551657859364324	0.0884356298837122	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000600	0	HPCLAS_TRAIN_N_000600	3	0.9289504289627076	0.9716473817825316	0.8187046291688391	0.0935658533619738	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_000538	1	HPCLAS_TRAIN_P_000538	4	4.432984042068711e-06	0.1999075412750244	0.0855035439306978	0.0951385060632547	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_002351	0	HPCLAS_TRAIN_N_002351	3	0.9985225796699524	0.8726562261581421	0.8397878148165455	0.09634445978512	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_002199	0	HPCLAS_TRAIN_N_002199	1	0.9805010557174684	0.8671626448631287	0.8525361447202026	0.0999333848997334	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_002115	0	HPCLAS_TRAIN_N_002115	1	0.9948623776435852	0.8357680439949036	0.8685069051354948	0.1002875577420054	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000325	0	HPCLAS_TRAIN_N_000325	2	0.9796088337898254	0.8049789667129517	0.9016864688655668	0.1045752435438853	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_004400	1	HPCLAS_TRAIN_P_004400	3	0.0327442064881324	0.1268371790647506	0.1573445633448121	0.1056419829658983	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000585	0	HPCLAS_TRAIN_N_000585	0	0.962463080883026	0.8727569580078125	0.8345503123839604	0.110076549575067	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_000702	0	HPCLAS_TRAIN_N_000702	0	0.9992653727531432	0.8209534883499146	0.8463560733000425	0.1111416885322999	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_003047	1	HPCLAS_TRAIN_P_003047	4	0.0294458996504545	0.1948035359382629	0.1111413705359877	0.1117969353749017	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_003674	0	HPCLAS_TRAIN_N_003674	1	0.8165031671524048	0.8528608679771423	0.920123398457034	0.1368375221378063	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_N_002191	0	HPCLAS_TRAIN_N_002191	1	0.8652995824813843	0.8291767835617065	0.8378297559682454	0.1558979593295546	True	high_confidence_consensus_against_label;mixed_label_homology_group;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_006754	1	HPCLAS_TRAIN_P_006754	2	0.1439202278852462	0.1932601183652877	0.13629255535846	0.1578243005363313	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
HPCLAS_TRAIN_P_007118	1	HPCLAS_TRAIN_P_007118	2	0.1623462438583374	0.1680199205875396	0.1859972594529824	0.1721211412996197	False	high_confidence_consensus_against_label;one_or_more_oof_models_wrong
