homology_group	records	negative_records	positive_records	member_ids
HPCLAS_TRAIN_N_000485	2	1	1	HPCLAS_TRAIN_N_000485;HPCLAS_TRAIN_P_002734
HPCLAS_TRAIN_N_000579	2	1	1	HPCLAS_TRAIN_N_000579;HPCLAS_TRAIN_P_005049
HPCLAS_TRAIN_N_000605	2	1	1	HPCLAS_TRAIN_N_000605;HPCLAS_TRAIN_P_000457
HPCLAS_TRAIN_N_000621	2	1	1	HPCLAS_TRAIN_N_000621;HPCLAS_TRAIN_P_000681
HPCLAS_TRAIN_N_000624	2	1	1	HPCLAS_TRAIN_N_000624;HPCLAS_TRAIN_P_004034
HPCLAS_TRAIN_N_000633	2	1	1	HPCLAS_TRAIN_N_000633;HPCLAS_TRAIN_P_001457
HPCLAS_TRAIN_N_000728	2	1	1	HPCLAS_TRAIN_N_000728;HPCLAS_TRAIN_P_005462
HPCLAS_TRAIN_N_000764	2	1	1	HPCLAS_TRAIN_N_000764;HPCLAS_TRAIN_P_002853
HPCLAS_TRAIN_N_000776	2	1	1	HPCLAS_TRAIN_N_000776;HPCLAS_TRAIN_P_001744
HPCLAS_TRAIN_N_000856	2	1	1	HPCLAS_TRAIN_N_000856;HPCLAS_TRAIN_P_007121
HPCLAS_TRAIN_N_000931	2	1	1	HPCLAS_TRAIN_N_000931;HPCLAS_TRAIN_P_004475
HPCLAS_TRAIN_N_000951	2	1	1	HPCLAS_TRAIN_N_000951;HPCLAS_TRAIN_P_003027
HPCLAS_TRAIN_N_000961	2	1	1	HPCLAS_TRAIN_N_000961;HPCLAS_TRAIN_P_006200
HPCLAS_TRAIN_N_000972	2	1	1	HPCLAS_TRAIN_N_000972;HPCLAS_TRAIN_P_002164
HPCLAS_TRAIN_N_000995	2	1	1	HPCLAS_TRAIN_N_000995;HPCLAS_TRAIN_P_005737
HPCLAS_TRAIN_N_001032	2	1	1	HPCLAS_TRAIN_N_001032;HPCLAS_TRAIN_P_001647
HPCLAS_TRAIN_N_001072	2	1	1	HPCLAS_TRAIN_N_001072;HPCLAS_TRAIN_P_001194
HPCLAS_TRAIN_N_001085	2	1	1	HPCLAS_TRAIN_N_001085;HPCLAS_TRAIN_P_002313
HPCLAS_TRAIN_N_001094	2	1	1	HPCLAS_TRAIN_N_001094;HPCLAS_TRAIN_P_003361
HPCLAS_TRAIN_N_001097	2	1	1	HPCLAS_TRAIN_N_001097;HPCLAS_TRAIN_P_007043
HPCLAS_TRAIN_N_001130	2	1	1	HPCLAS_TRAIN_N_001130;HPCLAS_TRAIN_P_003560
HPCLAS_TRAIN_N_001139	2	1	1	HPCLAS_TRAIN_N_001139;HPCLAS_TRAIN_P_000488
HPCLAS_TRAIN_N_001158	2	1	1	HPCLAS_TRAIN_N_001158;HPCLAS_TRAIN_P_007253
HPCLAS_TRAIN_N_001198	2	1	1	HPCLAS_TRAIN_N_001198;HPCLAS_TRAIN_P_006651
HPCLAS_TRAIN_N_001204	2	1	1	HPCLAS_TRAIN_N_001204;HPCLAS_TRAIN_P_005761
HPCLAS_TRAIN_N_001228	2	1	1	HPCLAS_TRAIN_N_001228;HPCLAS_TRAIN_P_002624
HPCLAS_TRAIN_N_001271	2	1	1	HPCLAS_TRAIN_N_001271;HPCLAS_TRAIN_P_000680
HPCLAS_TRAIN_N_001275	2	1	1	HPCLAS_TRAIN_N_001275;HPCLAS_TRAIN_P_000813
HPCLAS_TRAIN_N_001400	2	1	1	HPCLAS_TRAIN_N_001400;HPCLAS_TRAIN_P_005129
HPCLAS_TRAIN_N_001412	2	1	1	HPCLAS_TRAIN_N_001412;HPCLAS_TRAIN_P_005994
HPCLAS_TRAIN_N_001443	2	1	1	HPCLAS_TRAIN_N_001443;HPCLAS_TRAIN_P_003116
HPCLAS_TRAIN_N_001466	2	1	1	HPCLAS_TRAIN_N_001466;HPCLAS_TRAIN_P_002291
HPCLAS_TRAIN_N_001514	2	1	1	HPCLAS_TRAIN_N_001514;HPCLAS_TRAIN_P_000550
HPCLAS_TRAIN_N_001566	2	1	1	HPCLAS_TRAIN_N_001566;HPCLAS_TRAIN_P_004027
HPCLAS_TRAIN_N_001578	2	1	1	HPCLAS_TRAIN_N_001578;HPCLAS_TRAIN_P_004656
HPCLAS_TRAIN_N_001598	2	1	1	HPCLAS_TRAIN_N_001598;HPCLAS_TRAIN_P_004082
HPCLAS_TRAIN_N_001599	2	1	1	HPCLAS_TRAIN_N_001599;HPCLAS_TRAIN_P_003753
HPCLAS_TRAIN_N_001608	2	1	1	HPCLAS_TRAIN_N_001608;HPCLAS_TRAIN_P_007073
HPCLAS_TRAIN_N_001712	2	1	1	HPCLAS_TRAIN_N_001712;HPCLAS_TRAIN_P_005180
HPCLAS_TRAIN_N_001789	2	1	1	HPCLAS_TRAIN_N_001789;HPCLAS_TRAIN_P_002236
HPCLAS_TRAIN_N_001800	2	1	1	HPCLAS_TRAIN_N_001800;HPCLAS_TRAIN_P_007173
HPCLAS_TRAIN_N_001809	2	1	1	HPCLAS_TRAIN_N_001809;HPCLAS_TRAIN_P_005303
HPCLAS_TRAIN_N_001842	2	1	1	HPCLAS_TRAIN_N_001842;HPCLAS_TRAIN_P_005268
HPCLAS_TRAIN_N_001921	2	1	1	HPCLAS_TRAIN_N_001921;HPCLAS_TRAIN_P_000047
HPCLAS_TRAIN_N_001932	2	1	1	HPCLAS_TRAIN_N_001932;HPCLAS_TRAIN_P_001261
HPCLAS_TRAIN_N_001977	2	1	1	HPCLAS_TRAIN_N_001977;HPCLAS_TRAIN_P_007124
HPCLAS_TRAIN_N_002121	2	1	1	HPCLAS_TRAIN_N_002121;HPCLAS_TRAIN_P_005830
HPCLAS_TRAIN_N_002123	2	1	1	HPCLAS_TRAIN_N_002123;HPCLAS_TRAIN_P_000188
HPCLAS_TRAIN_N_002135	2	1	1	HPCLAS_TRAIN_N_002135;HPCLAS_TRAIN_P_001107
HPCLAS_TRAIN_N_002142	2	1	1	HPCLAS_TRAIN_N_002142;HPCLAS_TRAIN_P_003134
HPCLAS_TRAIN_N_002147	2	1	1	HPCLAS_TRAIN_N_002147;HPCLAS_TRAIN_P_000193
HPCLAS_TRAIN_N_002191	2	1	1	HPCLAS_TRAIN_N_002191;HPCLAS_TRAIN_P_002846
HPCLAS_TRAIN_N_002212	2	1	1	HPCLAS_TRAIN_N_002212;HPCLAS_TRAIN_P_002255
HPCLAS_TRAIN_N_002216	2	1	1	HPCLAS_TRAIN_N_002216;HPCLAS_TRAIN_P_004110
HPCLAS_TRAIN_N_002265	2	1	1	HPCLAS_TRAIN_N_002265;HPCLAS_TRAIN_P_007188
HPCLAS_TRAIN_N_002316	2	1	1	HPCLAS_TRAIN_N_002316;HPCLAS_TRAIN_P_006688
HPCLAS_TRAIN_N_002413	2	1	1	HPCLAS_TRAIN_N_002413;HPCLAS_TRAIN_P_002272
HPCLAS_TRAIN_N_002421	2	1	1	HPCLAS_TRAIN_N_002421;HPCLAS_TRAIN_P_004582
HPCLAS_TRAIN_N_002506	2	1	1	HPCLAS_TRAIN_N_002506;HPCLAS_TRAIN_P_006171
HPCLAS_TRAIN_N_002524	2	1	1	HPCLAS_TRAIN_N_002524;HPCLAS_TRAIN_P_003028
HPCLAS_TRAIN_N_002546	2	1	1	HPCLAS_TRAIN_N_002546;HPCLAS_TRAIN_P_006905
HPCLAS_TRAIN_N_002598	2	1	1	HPCLAS_TRAIN_N_002598;HPCLAS_TRAIN_P_004245
HPCLAS_TRAIN_N_002611	2	1	1	HPCLAS_TRAIN_N_002611;HPCLAS_TRAIN_P_001544
HPCLAS_TRAIN_N_002644	2	1	1	HPCLAS_TRAIN_N_002644;HPCLAS_TRAIN_P_000401
HPCLAS_TRAIN_N_002702	2	1	1	HPCLAS_TRAIN_N_002702;HPCLAS_TRAIN_P_006243
HPCLAS_TRAIN_N_002716	2	1	1	HPCLAS_TRAIN_N_002716;HPCLAS_TRAIN_P_001038
HPCLAS_TRAIN_N_002751	2	1	1	HPCLAS_TRAIN_N_002751;HPCLAS_TRAIN_P_001823
HPCLAS_TRAIN_N_002779	2	1	1	HPCLAS_TRAIN_N_002779;HPCLAS_TRAIN_P_003158
HPCLAS_TRAIN_N_002781	2	1	1	HPCLAS_TRAIN_N_002781;HPCLAS_TRAIN_P_002298
HPCLAS_TRAIN_N_002854	2	1	1	HPCLAS_TRAIN_N_002854;HPCLAS_TRAIN_P_003946
HPCLAS_TRAIN_N_002889	2	1	1	HPCLAS_TRAIN_N_002889;HPCLAS_TRAIN_P_001517
HPCLAS_TRAIN_N_002968	2	1	1	HPCLAS_TRAIN_N_002968;HPCLAS_TRAIN_P_006816
HPCLAS_TRAIN_N_002999	2	1	1	HPCLAS_TRAIN_N_002999;HPCLAS_TRAIN_P_004724
HPCLAS_TRAIN_N_003000	2	1	1	HPCLAS_TRAIN_N_003000;HPCLAS_TRAIN_P_003739
HPCLAS_TRAIN_N_003024	2	1	1	HPCLAS_TRAIN_N_003024;HPCLAS_TRAIN_P_002770
HPCLAS_TRAIN_N_003035	2	1	1	HPCLAS_TRAIN_N_003035;HPCLAS_TRAIN_P_006758
HPCLAS_TRAIN_N_003099	2	1	1	HPCLAS_TRAIN_N_003099;HPCLAS_TRAIN_P_003812
HPCLAS_TRAIN_N_003118	2	1	1	HPCLAS_TRAIN_N_003118;HPCLAS_TRAIN_P_001464
HPCLAS_TRAIN_N_003127	2	1	1	HPCLAS_TRAIN_N_003127;HPCLAS_TRAIN_P_002621
HPCLAS_TRAIN_N_003138	2	1	1	HPCLAS_TRAIN_N_003138;HPCLAS_TRAIN_P_002905
HPCLAS_TRAIN_N_003164	2	1	1	HPCLAS_TRAIN_N_003164;HPCLAS_TRAIN_P_004174
HPCLAS_TRAIN_N_003170	2	1	1	HPCLAS_TRAIN_N_003170;HPCLAS_TRAIN_P_001213
HPCLAS_TRAIN_N_003201	2	1	1	HPCLAS_TRAIN_N_003201;HPCLAS_TRAIN_P_006917
HPCLAS_TRAIN_N_003231	2	1	1	HPCLAS_TRAIN_N_003231;HPCLAS_TRAIN_P_007460
HPCLAS_TRAIN_N_003287	2	1	1	HPCLAS_TRAIN_N_003287;HPCLAS_TRAIN_P_007248
HPCLAS_TRAIN_N_003316	2	1	1	HPCLAS_TRAIN_N_003316;HPCLAS_TRAIN_P_006614
HPCLAS_TRAIN_N_003321	2	1	1	HPCLAS_TRAIN_N_003321;HPCLAS_TRAIN_P_000601
HPCLAS_TRAIN_N_003322	2	1	1	HPCLAS_TRAIN_N_003322;HPCLAS_TRAIN_P_004019
HPCLAS_TRAIN_N_003352	2	1	1	HPCLAS_TRAIN_N_003352;HPCLAS_TRAIN_P_003950
HPCLAS_TRAIN_N_003434	2	1	1	HPCLAS_TRAIN_N_003434;HPCLAS_TRAIN_P_002247
HPCLAS_TRAIN_N_003461	2	1	1	HPCLAS_TRAIN_N_003461;HPCLAS_TRAIN_P_006247
HPCLAS_TRAIN_N_003467	2	1	1	HPCLAS_TRAIN_N_003467;HPCLAS_TRAIN_P_002682
HPCLAS_TRAIN_N_003538	2	1	1	HPCLAS_TRAIN_N_003538;HPCLAS_TRAIN_P_002954
HPCLAS_TRAIN_N_003548	2	1	1	HPCLAS_TRAIN_N_003548;HPCLAS_TRAIN_P_001537
HPCLAS_TRAIN_N_003554	2	1	1	HPCLAS_TRAIN_N_003554;HPCLAS_TRAIN_P_003744
HPCLAS_TRAIN_N_003591	2	1	1	HPCLAS_TRAIN_N_003591;HPCLAS_TRAIN_P_007175
HPCLAS_TRAIN_N_003610	2	1	1	HPCLAS_TRAIN_N_003610;HPCLAS_TRAIN_P_004536
HPCLAS_TRAIN_N_003648	2	1	1	HPCLAS_TRAIN_N_003648;HPCLAS_TRAIN_P_004732
HPCLAS_TRAIN_N_003740	2	1	1	HPCLAS_TRAIN_N_003740;HPCLAS_TRAIN_P_003422
HPCLAS_TRAIN_N_003748	2	1	1	HPCLAS_TRAIN_N_003748;HPCLAS_TRAIN_P_001560
HPCLAS_TRAIN_N_003755	2	1	1	HPCLAS_TRAIN_N_003755;HPCLAS_TRAIN_P_000185
HPCLAS_TRAIN_N_003779	2	1	1	HPCLAS_TRAIN_N_003779;HPCLAS_TRAIN_P_002422
HPCLAS_TRAIN_N_003844	2	1	1	HPCLAS_TRAIN_N_003844;HPCLAS_TRAIN_P_006302
HPCLAS_TRAIN_N_003891	2	1	1	HPCLAS_TRAIN_N_003891;HPCLAS_TRAIN_P_006281
HPCLAS_TRAIN_N_003924	2	1	1	HPCLAS_TRAIN_N_003924;HPCLAS_TRAIN_P_003627
HPCLAS_TRAIN_N_003947	2	1	1	HPCLAS_TRAIN_N_003947;HPCLAS_TRAIN_P_004165
HPCLAS_TRAIN_N_003986	2	1	1	HPCLAS_TRAIN_N_003986;HPCLAS_TRAIN_P_004137
HPCLAS_TRAIN_N_004017	2	1	1	HPCLAS_TRAIN_N_004017;HPCLAS_TRAIN_P_004775
HPCLAS_TRAIN_N_004024	2	1	1	HPCLAS_TRAIN_N_004024;HPCLAS_TRAIN_P_004828
HPCLAS_TRAIN_N_004054	2	1	1	HPCLAS_TRAIN_N_004054;HPCLAS_TRAIN_P_001452
HPCLAS_TRAIN_N_004064	2	1	1	HPCLAS_TRAIN_N_004064;HPCLAS_TRAIN_P_004706
HPCLAS_TRAIN_N_004089	2	1	1	HPCLAS_TRAIN_N_004089;HPCLAS_TRAIN_P_006624
HPCLAS_TRAIN_N_004101	2	1	1	HPCLAS_TRAIN_N_004101;HPCLAS_TRAIN_P_005163
HPCLAS_TRAIN_N_004152	2	1	1	HPCLAS_TRAIN_N_004152;HPCLAS_TRAIN_P_002167
HPCLAS_TRAIN_N_004159	2	1	1	HPCLAS_TRAIN_N_004159;HPCLAS_TRAIN_P_002549
HPCLAS_TRAIN_N_004166	2	1	1	HPCLAS_TRAIN_N_004166;HPCLAS_TRAIN_P_005985
HPCLAS_TRAIN_N_004184	2	1	1	HPCLAS_TRAIN_N_004184;HPCLAS_TRAIN_P_003427
HPCLAS_TRAIN_N_004191	2	1	1	HPCLAS_TRAIN_N_004191;HPCLAS_TRAIN_P_001477
HPCLAS_TRAIN_N_004206	2	1	1	HPCLAS_TRAIN_N_004206;HPCLAS_TRAIN_P_005589
HPCLAS_TRAIN_N_004209	2	1	1	HPCLAS_TRAIN_N_004209;HPCLAS_TRAIN_P_006888
HPCLAS_TRAIN_N_004210	2	1	1	HPCLAS_TRAIN_N_004210;HPCLAS_TRAIN_P_003897
HPCLAS_TRAIN_N_004214	2	1	1	HPCLAS_TRAIN_N_004214;HPCLAS_TRAIN_P_003721
HPCLAS_TRAIN_N_004230	2	1	1	HPCLAS_TRAIN_N_004230;HPCLAS_TRAIN_P_000414
HPCLAS_TRAIN_N_004231	2	1	1	HPCLAS_TRAIN_N_004231;HPCLAS_TRAIN_P_006391
HPCLAS_TRAIN_N_004247	2	1	1	HPCLAS_TRAIN_N_004247;HPCLAS_TRAIN_P_006310
HPCLAS_TRAIN_N_004259	2	1	1	HPCLAS_TRAIN_N_004259;HPCLAS_TRAIN_P_000180
HPCLAS_TRAIN_N_004271	2	1	1	HPCLAS_TRAIN_N_004271;HPCLAS_TRAIN_P_003676
HPCLAS_TRAIN_N_004328	2	1	1	HPCLAS_TRAIN_N_004328;HPCLAS_TRAIN_P_006065
HPCLAS_TRAIN_N_004339	2	1	1	HPCLAS_TRAIN_N_004339;HPCLAS_TRAIN_P_003923
HPCLAS_TRAIN_N_004408	2	1	1	HPCLAS_TRAIN_N_004408;HPCLAS_TRAIN_P_006531
HPCLAS_TRAIN_N_004487	2	1	1	HPCLAS_TRAIN_N_004487;HPCLAS_TRAIN_P_006704
HPCLAS_TRAIN_N_004647	2	1	1	HPCLAS_TRAIN_N_004647;HPCLAS_TRAIN_P_000957
HPCLAS_TRAIN_N_004714	2	1	1	HPCLAS_TRAIN_N_004714;HPCLAS_TRAIN_P_001454
HPCLAS_TRAIN_N_004744	2	1	1	HPCLAS_TRAIN_N_004744;HPCLAS_TRAIN_P_000551
HPCLAS_TRAIN_N_004770	2	1	1	HPCLAS_TRAIN_N_004770;HPCLAS_TRAIN_P_002988
HPCLAS_TRAIN_N_004783	2	1	1	HPCLAS_TRAIN_N_004783;HPCLAS_TRAIN_P_001431
HPCLAS_TRAIN_N_004812	2	1	1	HPCLAS_TRAIN_N_004812;HPCLAS_TRAIN_P_002519
HPCLAS_TRAIN_N_004813	2	1	1	HPCLAS_TRAIN_N_004813;HPCLAS_TRAIN_P_003055
HPCLAS_TRAIN_N_004816	2	1	1	HPCLAS_TRAIN_N_004816;HPCLAS_TRAIN_P_003467
HPCLAS_TRAIN_N_004826	2	1	1	HPCLAS_TRAIN_N_004826;HPCLAS_TRAIN_P_003808
HPCLAS_TRAIN_N_004829	2	1	1	HPCLAS_TRAIN_N_004829;HPCLAS_TRAIN_P_006721
HPCLAS_TRAIN_N_004870	2	1	1	HPCLAS_TRAIN_N_004870;HPCLAS_TRAIN_P_006575
HPCLAS_TRAIN_N_004887	2	1	1	HPCLAS_TRAIN_N_004887;HPCLAS_TRAIN_P_000335
HPCLAS_TRAIN_N_004951	2	1	1	HPCLAS_TRAIN_N_004951;HPCLAS_TRAIN_P_006293
HPCLAS_TRAIN_N_005007	2	1	1	HPCLAS_TRAIN_N_005007;HPCLAS_TRAIN_P_004176
HPCLAS_TRAIN_N_005031	2	1	1	HPCLAS_TRAIN_N_005031;HPCLAS_TRAIN_P_000326
HPCLAS_TRAIN_N_005046	2	1	1	HPCLAS_TRAIN_N_005046;HPCLAS_TRAIN_P_001444
HPCLAS_TRAIN_N_005096	2	1	1	HPCLAS_TRAIN_N_005096;HPCLAS_TRAIN_P_001894
HPCLAS_TRAIN_N_005110	2	1	1	HPCLAS_TRAIN_N_005110;HPCLAS_TRAIN_P_007120
HPCLAS_TRAIN_P_000023	2	1	1	HPCLAS_TRAIN_N_002027;HPCLAS_TRAIN_P_000023
HPCLAS_TRAIN_P_000053	2	1	1	HPCLAS_TRAIN_N_002401;HPCLAS_TRAIN_P_000053
HPCLAS_TRAIN_P_000101	2	1	1	HPCLAS_TRAIN_N_002245;HPCLAS_TRAIN_P_000101
HPCLAS_TRAIN_P_000131	2	1	1	HPCLAS_TRAIN_N_002217;HPCLAS_TRAIN_P_000131
HPCLAS_TRAIN_P_000244	2	1	1	HPCLAS_TRAIN_N_003104;HPCLAS_TRAIN_P_000244
HPCLAS_TRAIN_P_000260	2	1	1	HPCLAS_TRAIN_N_002985;HPCLAS_TRAIN_P_000260
HPCLAS_TRAIN_P_000348	2	1	1	HPCLAS_TRAIN_N_000550;HPCLAS_TRAIN_P_000348
HPCLAS_TRAIN_P_000374	2	1	1	HPCLAS_TRAIN_N_003647;HPCLAS_TRAIN_P_000374
HPCLAS_TRAIN_P_000438	2	1	1	HPCLAS_TRAIN_N_004394;HPCLAS_TRAIN_P_000438
HPCLAS_TRAIN_P_000687	2	1	1	HPCLAS_TRAIN_N_000143;HPCLAS_TRAIN_P_000687
HPCLAS_TRAIN_P_000962	2	1	1	HPCLAS_TRAIN_N_003288;HPCLAS_TRAIN_P_000962
HPCLAS_TRAIN_P_000993	2	1	1	HPCLAS_TRAIN_N_000376;HPCLAS_TRAIN_P_000993
HPCLAS_TRAIN_P_001121	2	1	1	HPCLAS_TRAIN_N_003879;HPCLAS_TRAIN_P_001121
HPCLAS_TRAIN_P_001132	2	1	1	HPCLAS_TRAIN_N_001237;HPCLAS_TRAIN_P_001132
HPCLAS_TRAIN_P_001196	2	1	1	HPCLAS_TRAIN_N_000417;HPCLAS_TRAIN_P_001196
HPCLAS_TRAIN_P_001316	2	1	1	HPCLAS_TRAIN_N_002163;HPCLAS_TRAIN_P_001316
HPCLAS_TRAIN_P_001440	2	1	1	HPCLAS_TRAIN_N_001995;HPCLAS_TRAIN_P_001440
HPCLAS_TRAIN_P_001506	2	1	1	HPCLAS_TRAIN_N_001263;HPCLAS_TRAIN_P_001506
HPCLAS_TRAIN_P_001583	2	1	1	HPCLAS_TRAIN_N_002938;HPCLAS_TRAIN_P_001583
HPCLAS_TRAIN_P_001597	2	1	1	HPCLAS_TRAIN_N_003885;HPCLAS_TRAIN_P_001597
HPCLAS_TRAIN_P_001611	2	1	1	HPCLAS_TRAIN_N_003793;HPCLAS_TRAIN_P_001611
HPCLAS_TRAIN_P_001639	2	1	1	HPCLAS_TRAIN_N_003899;HPCLAS_TRAIN_P_001639
HPCLAS_TRAIN_P_001880	2	1	1	HPCLAS_TRAIN_N_003378;HPCLAS_TRAIN_P_001880
HPCLAS_TRAIN_P_002024	2	1	1	HPCLAS_TRAIN_N_004472;HPCLAS_TRAIN_P_002024
HPCLAS_TRAIN_P_002097	2	1	1	HPCLAS_TRAIN_N_002552;HPCLAS_TRAIN_P_002097
HPCLAS_TRAIN_P_002172	2	1	1	HPCLAS_TRAIN_N_003961;HPCLAS_TRAIN_P_002172
HPCLAS_TRAIN_P_002286	2	1	1	HPCLAS_TRAIN_N_002030;HPCLAS_TRAIN_P_002286
HPCLAS_TRAIN_P_002419	2	1	1	HPCLAS_TRAIN_N_002942;HPCLAS_TRAIN_P_002419
HPCLAS_TRAIN_P_002428	2	1	1	HPCLAS_TRAIN_N_002467;HPCLAS_TRAIN_P_002428
HPCLAS_TRAIN_P_002532	2	1	1	HPCLAS_TRAIN_N_001073;HPCLAS_TRAIN_P_002532
HPCLAS_TRAIN_P_002956	2	1	1	HPCLAS_TRAIN_N_000019;HPCLAS_TRAIN_P_002956
HPCLAS_TRAIN_P_003050	2	1	1	HPCLAS_TRAIN_N_003062;HPCLAS_TRAIN_P_003050
HPCLAS_TRAIN_P_003059	2	1	1	HPCLAS_TRAIN_N_000051;HPCLAS_TRAIN_P_003059
HPCLAS_TRAIN_P_003339	2	1	1	HPCLAS_TRAIN_N_000432;HPCLAS_TRAIN_P_003339
HPCLAS_TRAIN_P_003387	2	1	1	HPCLAS_TRAIN_N_003490;HPCLAS_TRAIN_P_003387
HPCLAS_TRAIN_P_003475	2	1	1	HPCLAS_TRAIN_N_004997;HPCLAS_TRAIN_P_003475
HPCLAS_TRAIN_P_003772	2	1	1	HPCLAS_TRAIN_N_001759;HPCLAS_TRAIN_P_003772
HPCLAS_TRAIN_P_003786	2	1	1	HPCLAS_TRAIN_N_004996;HPCLAS_TRAIN_P_003786
HPCLAS_TRAIN_P_003810	2	1	1	HPCLAS_TRAIN_N_002376;HPCLAS_TRAIN_P_003810
HPCLAS_TRAIN_P_003824	2	1	1	HPCLAS_TRAIN_N_001437;HPCLAS_TRAIN_P_003824
HPCLAS_TRAIN_P_003842	2	1	1	HPCLAS_TRAIN_N_003196;HPCLAS_TRAIN_P_003842
HPCLAS_TRAIN_P_003856	2	1	1	HPCLAS_TRAIN_N_003653;HPCLAS_TRAIN_P_003856
HPCLAS_TRAIN_P_003947	2	1	1	HPCLAS_TRAIN_N_003274;HPCLAS_TRAIN_P_003947
HPCLAS_TRAIN_P_004022	2	1	1	HPCLAS_TRAIN_N_001214;HPCLAS_TRAIN_P_004022
HPCLAS_TRAIN_P_004029	2	1	1	HPCLAS_TRAIN_N_004420;HPCLAS_TRAIN_P_004029
HPCLAS_TRAIN_P_004166	2	1	1	HPCLAS_TRAIN_N_000434;HPCLAS_TRAIN_P_004166
HPCLAS_TRAIN_P_004233	2	1	1	HPCLAS_TRAIN_N_002256;HPCLAS_TRAIN_P_004233
HPCLAS_TRAIN_P_004248	2	1	1	HPCLAS_TRAIN_N_003036;HPCLAS_TRAIN_P_004248
HPCLAS_TRAIN_P_004322	2	1	1	HPCLAS_TRAIN_N_000660;HPCLAS_TRAIN_P_004322
HPCLAS_TRAIN_P_004373	2	1	1	HPCLAS_TRAIN_N_001142;HPCLAS_TRAIN_P_004373
HPCLAS_TRAIN_P_004588	2	1	1	HPCLAS_TRAIN_N_002911;HPCLAS_TRAIN_P_004588
HPCLAS_TRAIN_P_004677	2	1	1	HPCLAS_TRAIN_N_002736;HPCLAS_TRAIN_P_004677
HPCLAS_TRAIN_P_004708	2	1	1	HPCLAS_TRAIN_N_004261;HPCLAS_TRAIN_P_004708
HPCLAS_TRAIN_P_004817	2	1	1	HPCLAS_TRAIN_N_001535;HPCLAS_TRAIN_P_004817
HPCLAS_TRAIN_P_004877	2	1	1	HPCLAS_TRAIN_N_001517;HPCLAS_TRAIN_P_004877
HPCLAS_TRAIN_P_004986	2	1	1	HPCLAS_TRAIN_N_004018;HPCLAS_TRAIN_P_004986
HPCLAS_TRAIN_P_005014	2	1	1	HPCLAS_TRAIN_N_001179;HPCLAS_TRAIN_P_005014
HPCLAS_TRAIN_P_005044	2	1	1	HPCLAS_TRAIN_N_002004;HPCLAS_TRAIN_P_005044
HPCLAS_TRAIN_P_005080	2	1	1	HPCLAS_TRAIN_N_002918;HPCLAS_TRAIN_P_005080
HPCLAS_TRAIN_P_005085	2	1	1	HPCLAS_TRAIN_N_004000;HPCLAS_TRAIN_P_005085
HPCLAS_TRAIN_P_005090	2	1	1	HPCLAS_TRAIN_N_002227;HPCLAS_TRAIN_P_005090
