embedding_row	clean_id	original_id	split	label	cluster_id	sequence_length	completed	number_of_windows
24	seq_5e8cc6c047413a26c6088165f8478f7a00cf4dfbdacebb34b66ad774900ff6dd	seq_5e8cc6c047413a26c6088165f8478f7a00cf4dfbdacebb34b66ad774900ff6dd	existing_challenge	0	seq_5e8cc6c047413a26c6088165f8478f7a00cf4dfbdacebb34b66ad774900ff6dd	128	1	1
25	seq_79fbda06bcc8ef8d8f7ae05760bbc6ccb3f0db201c99f93b6be73682b0cf8bb0	seq_79fbda06bcc8ef8d8f7ae05760bbc6ccb3f0db201c99f93b6be73682b0cf8bb0	existing_challenge	0	seq_79fbda06bcc8ef8d8f7ae05760bbc6ccb3f0db201c99f93b6be73682b0cf8bb0	397	1	1
26	seq_bc0c8f006b6d0c0ffa73eff27e838a4b34f9307061cdcd5a05453bc4c76d77b3	seq_bc0c8f006b6d0c0ffa73eff27e838a4b34f9307061cdcd5a05453bc4c76d77b3	existing_challenge	0	seq_bc0c8f006b6d0c0ffa73eff27e838a4b34f9307061cdcd5a05453bc4c76d77b3	301	1	1
27	seq_13638e5c1f98d19ad103c79ad442eeccde8c182cf0befef18276d6c8423d26d8	seq_13638e5c1f98d19ad103c79ad442eeccde8c182cf0befef18276d6c8423d26d8	existing_challenge	0	seq_13638e5c1f98d19ad103c79ad442eeccde8c182cf0befef18276d6c8423d26d8	194	1	1
28	seq_c1777e6227d76319c19d0100236c07f5f45a2f60f4168899512fb5a3ad4e0c43	seq_c1777e6227d76319c19d0100236c07f5f45a2f60f4168899512fb5a3ad4e0c43	existing_challenge	0	seq_c1777e6227d76319c19d0100236c07f5f45a2f60f4168899512fb5a3ad4e0c43	128	1	1
29	seq_b0cc556b9f1bba0ffc715a3dca8fdd632c33d94e0728e6a20fcdcc4de15b4b26	seq_b0cc556b9f1bba0ffc715a3dca8fdd632c33d94e0728e6a20fcdcc4de15b4b26	existing_challenge	0	seq_b0cc556b9f1bba0ffc715a3dca8fdd632c33d94e0728e6a20fcdcc4de15b4b26	322	1	1
30	seq_fc3f5bcc60ec55fd6cfcd255816328de53d37e4058cb6855fcdccd13575cd496	seq_fc3f5bcc60ec55fd6cfcd255816328de53d37e4058cb6855fcdccd13575cd496	existing_challenge	0	seq_fc3f5bcc60ec55fd6cfcd255816328de53d37e4058cb6855fcdccd13575cd496	201	1	1
31	seq_d17c2b8dd5017d35132db24d2fa4df30d3ab4cc35f058edf9cbbcc2816b95c1d	seq_d17c2b8dd5017d35132db24d2fa4df30d3ab4cc35f058edf9cbbcc2816b95c1d	existing_challenge	0	seq_d17c2b8dd5017d35132db24d2fa4df30d3ab4cc35f058edf9cbbcc2816b95c1d	84	1	1
32	seq_aa8eb21a55b9dd1e3cc3b43829266a996b38a8a8883d7900014e91fd6c841264	seq_aa8eb21a55b9dd1e3cc3b43829266a996b38a8a8883d7900014e91fd6c841264	existing_challenge	0	seq_aa8eb21a55b9dd1e3cc3b43829266a996b38a8a8883d7900014e91fd6c841264	314	1	1
33	seq_3cbf8583c8f4d6005109de4cf4ce1bd9a3c9686da71018de3fe074934fa8339b	seq_3cbf8583c8f4d6005109de4cf4ce1bd9a3c9686da71018de3fe074934fa8339b	existing_challenge	0	seq_3cbf8583c8f4d6005109de4cf4ce1bd9a3c9686da71018de3fe074934fa8339b	414	1	1
34	seq_af239d57f7f19f7efb03946831d39714ff5a784fd7bb78a5dd6e012e1e217523	seq_af239d57f7f19f7efb03946831d39714ff5a784fd7bb78a5dd6e012e1e217523	existing_challenge	0	seq_af239d57f7f19f7efb03946831d39714ff5a784fd7bb78a5dd6e012e1e217523	195	1	1
35	seq_2eec0ecbcf047c31bdba1824d21bbcc11c7aee17d35f30b99e61d6dcc96c06e5	seq_2eec0ecbcf047c31bdba1824d21bbcc11c7aee17d35f30b99e61d6dcc96c06e5	existing_challenge	0	seq_2eec0ecbcf047c31bdba1824d21bbcc11c7aee17d35f30b99e61d6dcc96c06e5	417	1	1
36	seq_82876365b65f3248eb69176c79056f2601c5cf24a1841b171ee81b2d0de2ed90	seq_82876365b65f3248eb69176c79056f2601c5cf24a1841b171ee81b2d0de2ed90	existing_challenge	0	seq_82876365b65f3248eb69176c79056f2601c5cf24a1841b171ee81b2d0de2ed90	232	1	1
37	seq_ae1ff32971e16309bec7f0dac9e47ae808fd165352ea75ad8d34b94cb9d4a5ce	seq_ae1ff32971e16309bec7f0dac9e47ae808fd165352ea75ad8d34b94cb9d4a5ce	existing_challenge	0	seq_ae1ff32971e16309bec7f0dac9e47ae808fd165352ea75ad8d34b94cb9d4a5ce	323	1	1
38	seq_6ca27ba5cfbe8d3ec59f00ffd4dfdbf80797a47c809256637437139b632401ed	seq_6ca27ba5cfbe8d3ec59f00ffd4dfdbf80797a47c809256637437139b632401ed	existing_challenge	0	seq_6ca27ba5cfbe8d3ec59f00ffd4dfdbf80797a47c809256637437139b632401ed	276	1	1
39	seq_5e33e1515df57dd5fc86b1c402b12ff848a6166716882bf2678f69314898a982	seq_5e33e1515df57dd5fc86b1c402b12ff848a6166716882bf2678f69314898a982	existing_challenge	0	seq_5e33e1515df57dd5fc86b1c402b12ff848a6166716882bf2678f69314898a982	215	1	1
40	seq_3ebf83aa53365e07cfaa0a2ca660be5a9a1bb91856fc76b6d831b711c5f899ba	seq_3ebf83aa53365e07cfaa0a2ca660be5a9a1bb91856fc76b6d831b711c5f899ba	existing_challenge	0	seq_3ebf83aa53365e07cfaa0a2ca660be5a9a1bb91856fc76b6d831b711c5f899ba	740	1	1
41	seq_2d0c473b12b4fcff1e6496302a0e7763a838415484c16b7a61130a1798995993	seq_2d0c473b12b4fcff1e6496302a0e7763a838415484c16b7a61130a1798995993	existing_challenge	0	seq_2d0c473b12b4fcff1e6496302a0e7763a838415484c16b7a61130a1798995993	229	1	1
42	seq_0f2495c33f86762707bc04d0f4f95e74e6d397472d25cc326a05b7a90a03b3be	seq_0f2495c33f86762707bc04d0f4f95e74e6d397472d25cc326a05b7a90a03b3be	existing_challenge	0	seq_0f2495c33f86762707bc04d0f4f95e74e6d397472d25cc326a05b7a90a03b3be	266	1	1
43	seq_0ade13af51cab6942c988aee4a76fe93e40e2a1f4279075b85f5a1407acd20c6	seq_0ade13af51cab6942c988aee4a76fe93e40e2a1f4279075b85f5a1407acd20c6	existing_challenge	0	seq_0ade13af51cab6942c988aee4a76fe93e40e2a1f4279075b85f5a1407acd20c6	111	1	1
44	seq_3f5c8e49a3aba54a757a872dedcc17f116c737ea997025e5c70e3adaf749bc35	seq_3f5c8e49a3aba54a757a872dedcc17f116c737ea997025e5c70e3adaf749bc35	existing_challenge	0	seq_3f5c8e49a3aba54a757a872dedcc17f116c737ea997025e5c70e3adaf749bc35	193	1	1
45	seq_af5e463ce6cfaaaf9434085749762ef417fc5606d29cf884caeb7f621b57cd5c	seq_af5e463ce6cfaaaf9434085749762ef417fc5606d29cf884caeb7f621b57cd5c	existing_challenge	0	seq_af5e463ce6cfaaaf9434085749762ef417fc5606d29cf884caeb7f621b57cd5c	1692	1	1
46	seq_f1eb6a50d114eba63dec7ba248706eef22fe536a6768c2a8e4125364031bdfcb	seq_f1eb6a50d114eba63dec7ba248706eef22fe536a6768c2a8e4125364031bdfcb	existing_challenge	0	seq_f1eb6a50d114eba63dec7ba248706eef22fe536a6768c2a8e4125364031bdfcb	48	1	1
47	seq_bda3fd0f36a46ae0b0e6a0783430a191fa978192019b68ab027b1da22f488923	seq_bda3fd0f36a46ae0b0e6a0783430a191fa978192019b68ab027b1da22f488923	existing_challenge	0	seq_bda3fd0f36a46ae0b0e6a0783430a191fa978192019b68ab027b1da22f488923	169	1	1
48	seq_0ece004951f7a2c6b4ef338440b16cd2011c221576d49f264658e4b7d70fa8c1	seq_0ece004951f7a2c6b4ef338440b16cd2011c221576d49f264658e4b7d70fa8c1	existing_challenge	0	seq_0ece004951f7a2c6b4ef338440b16cd2011c221576d49f264658e4b7d70fa8c1	391	1	1
49	seq_8a7a0576b47db4c49339df4512d6ab467c8a5a531805b5ae4fe89515a1212c05	seq_8a7a0576b47db4c49339df4512d6ab467c8a5a531805b5ae4fe89515a1212c05	existing_challenge	0	seq_8a7a0576b47db4c49339df4512d6ab467c8a5a531805b5ae4fe89515a1212c05	201	1	1
50	seq_908cbea0703fff5e9340886c474a78ddd07f2cb5dc074531f16565ce53810ab7	seq_908cbea0703fff5e9340886c474a78ddd07f2cb5dc074531f16565ce53810ab7	existing_challenge	0	seq_908cbea0703fff5e9340886c474a78ddd07f2cb5dc074531f16565ce53810ab7	235	1	1
51	seq_5299cb45b457ebde87a42c1fa45b200e5643b8e795607493cd0ab2f7a210aea1	seq_5299cb45b457ebde87a42c1fa45b200e5643b8e795607493cd0ab2f7a210aea1	existing_challenge	0	seq_5299cb45b457ebde87a42c1fa45b200e5643b8e795607493cd0ab2f7a210aea1	111	1	1
52	seq_9a5cec593f17beeccb9b8bb5207efdf54be4b2285110f76c0e1368f5dd98407b	seq_9a5cec593f17beeccb9b8bb5207efdf54be4b2285110f76c0e1368f5dd98407b	existing_challenge	0	seq_9a5cec593f17beeccb9b8bb5207efdf54be4b2285110f76c0e1368f5dd98407b	475	1	1
53	seq_9dc75282f2ed31a356f5b95c17c4b1e70a8861e372b98f95e5f131dfa617c831	seq_9dc75282f2ed31a356f5b95c17c4b1e70a8861e372b98f95e5f131dfa617c831	existing_challenge	0	seq_9dc75282f2ed31a356f5b95c17c4b1e70a8861e372b98f95e5f131dfa617c831	367	1	1
54	seq_ec23eda49fdb1f3802308243cfbdccb9baed76d6105f7528df11f25c3b6e1371	seq_ec23eda49fdb1f3802308243cfbdccb9baed76d6105f7528df11f25c3b6e1371	existing_challenge	0	seq_ec23eda49fdb1f3802308243cfbdccb9baed76d6105f7528df11f25c3b6e1371	198	1	1
55	seq_fd9278e7c3e7b8d36e7dcec08003c128313b4d26752a04e8c57dea4743520dea	seq_fd9278e7c3e7b8d36e7dcec08003c128313b4d26752a04e8c57dea4743520dea	existing_challenge	0	seq_fd9278e7c3e7b8d36e7dcec08003c128313b4d26752a04e8c57dea4743520dea	172	1	1
56	seq_dd0dc20cb7aaea76c56b03ac8c6c73369c9f82eb618806d6122b41d9bc095f26	seq_dd0dc20cb7aaea76c56b03ac8c6c73369c9f82eb618806d6122b41d9bc095f26	existing_challenge	0	seq_dd0dc20cb7aaea76c56b03ac8c6c73369c9f82eb618806d6122b41d9bc095f26	157	1	1
57	seq_b40d3376cb380efc96237eb9996363163a361783e0e2e67c2eeef141230f2aea	seq_b40d3376cb380efc96237eb9996363163a361783e0e2e67c2eeef141230f2aea	existing_challenge	0	seq_b40d3376cb380efc96237eb9996363163a361783e0e2e67c2eeef141230f2aea	389	1	1
58	seq_33a6dff7ce97e9df9e9f65ae96102602d8d3e68ec6e780c4995b0dffdc4b90b7	seq_33a6dff7ce97e9df9e9f65ae96102602d8d3e68ec6e780c4995b0dffdc4b90b7	existing_challenge	0	seq_33a6dff7ce97e9df9e9f65ae96102602d8d3e68ec6e780c4995b0dffdc4b90b7	150	1	1
59	seq_82e1ac3319ad0ae34210f1c6624038fb799fd8d22d57a9f4d1eb0c4205b38152	seq_82e1ac3319ad0ae34210f1c6624038fb799fd8d22d57a9f4d1eb0c4205b38152	existing_challenge	0	seq_82e1ac3319ad0ae34210f1c6624038fb799fd8d22d57a9f4d1eb0c4205b38152	243	1	1
60	seq_c87c4ae102686ad2b7cd003c0e7ab54989b0d1dca231bd1c3afa900e387320f5	seq_c87c4ae102686ad2b7cd003c0e7ab54989b0d1dca231bd1c3afa900e387320f5	existing_challenge	0	seq_c87c4ae102686ad2b7cd003c0e7ab54989b0d1dca231bd1c3afa900e387320f5	350	1	1
61	seq_b2b57b936c7718c3f3f594f7822541bb3af0b059974cb9e22272a9301eb4b987	seq_b2b57b936c7718c3f3f594f7822541bb3af0b059974cb9e22272a9301eb4b987	existing_challenge	0	seq_b2b57b936c7718c3f3f594f7822541bb3af0b059974cb9e22272a9301eb4b987	51	1	1
62	seq_70a9149cb8046caac56cabf1b6ef85f7e711f297c0910a305e6f149108a845a3	seq_70a9149cb8046caac56cabf1b6ef85f7e711f297c0910a305e6f149108a845a3	existing_challenge	0	seq_70a9149cb8046caac56cabf1b6ef85f7e711f297c0910a305e6f149108a845a3	611	1	1
63	seq_0e7b842025503c2d5d35e797bfac2035cd0c179ca833cce5c6987c791c58223b	seq_0e7b842025503c2d5d35e797bfac2035cd0c179ca833cce5c6987c791c58223b	existing_challenge	0	seq_0e7b842025503c2d5d35e797bfac2035cd0c179ca833cce5c6987c791c58223b	81	1	1
64	seq_e72deba68c769dd385be8edb1feba3b457dec591915aa04889fb248143975504	seq_e72deba68c769dd385be8edb1feba3b457dec591915aa04889fb248143975504	existing_challenge	0	seq_e72deba68c769dd385be8edb1feba3b457dec591915aa04889fb248143975504	79	1	1
65	seq_65a874a67e3002511ac61ef0c20f9384f8d4a6cbe5676f3c283554842d2eb1cc	seq_65a874a67e3002511ac61ef0c20f9384f8d4a6cbe5676f3c283554842d2eb1cc	existing_challenge	0	seq_65a874a67e3002511ac61ef0c20f9384f8d4a6cbe5676f3c283554842d2eb1cc	351	1	1
66	seq_58e10ad26e6331ab9aa9d537f2b0d8f0de196253b2328ab710389f3ab97e0042	seq_58e10ad26e6331ab9aa9d537f2b0d8f0de196253b2328ab710389f3ab97e0042	existing_challenge	0	seq_58e10ad26e6331ab9aa9d537f2b0d8f0de196253b2328ab710389f3ab97e0042	169	1	1
67	seq_132f49b333c0e29fb907423d3a85f8aa56b192f221812f79c2bb3ae626c76c69	seq_132f49b333c0e29fb907423d3a85f8aa56b192f221812f79c2bb3ae626c76c69	existing_challenge	0	seq_132f49b333c0e29fb907423d3a85f8aa56b192f221812f79c2bb3ae626c76c69	74	1	1
68	seq_ea3aeb23fea2252d4ad9c7d3b565435918a468dcd73c3545db458ba6b760065a	seq_ea3aeb23fea2252d4ad9c7d3b565435918a468dcd73c3545db458ba6b760065a	existing_challenge	0	seq_ea3aeb23fea2252d4ad9c7d3b565435918a468dcd73c3545db458ba6b760065a	136	1	1
69	seq_2723bd99899801f4949196e264cafe918dce7507f434570ce99aeb3881b40e38	seq_2723bd99899801f4949196e264cafe918dce7507f434570ce99aeb3881b40e38	existing_challenge	0	seq_2723bd99899801f4949196e264cafe918dce7507f434570ce99aeb3881b40e38	235	1	1
70	seq_e7bb164052452ed1197a2fe4cd215237c2b3b5ed4f0e6fe8328bc266489f4779	seq_e7bb164052452ed1197a2fe4cd215237c2b3b5ed4f0e6fe8328bc266489f4779	existing_challenge	0	seq_e7bb164052452ed1197a2fe4cd215237c2b3b5ed4f0e6fe8328bc266489f4779	90	1	1
71	seq_fbd3b9ca19d5ee1554a03586adb224d96e8871343f9642d72a0878b4c8c22caf	seq_fbd3b9ca19d5ee1554a03586adb224d96e8871343f9642d72a0878b4c8c22caf	existing_challenge	0	seq_fbd3b9ca19d5ee1554a03586adb224d96e8871343f9642d72a0878b4c8c22caf	340	1	1
72	seq_8ffaa49c9821866a29dcced92eeb5593893e43df1c66b763fab2dbc3f1c5dfa4	seq_8ffaa49c9821866a29dcced92eeb5593893e43df1c66b763fab2dbc3f1c5dfa4	existing_challenge	0	seq_8ffaa49c9821866a29dcced92eeb5593893e43df1c66b763fab2dbc3f1c5dfa4	328	1	1
73	seq_07a92ce2a56493de350d83e3afdd254f23e9cd35d2b59f7507f204c92b9c236e	seq_07a92ce2a56493de350d83e3afdd254f23e9cd35d2b59f7507f204c92b9c236e	existing_challenge	0	seq_07a92ce2a56493de350d83e3afdd254f23e9cd35d2b59f7507f204c92b9c236e	439	1	1
74	seq_d9b292816742878be297b5a05190930c8faf8348e7dcd8c5e41ea749ff21fdc8	seq_d9b292816742878be297b5a05190930c8faf8348e7dcd8c5e41ea749ff21fdc8	existing_challenge	0	seq_d9b292816742878be297b5a05190930c8faf8348e7dcd8c5e41ea749ff21fdc8	133	1	1
75	seq_db34c503a5389f056114f94dcd2d54df0aad19314b92aafff17eb14b00addf50	seq_db34c503a5389f056114f94dcd2d54df0aad19314b92aafff17eb14b00addf50	existing_challenge	0	seq_db34c503a5389f056114f94dcd2d54df0aad19314b92aafff17eb14b00addf50	163	1	1
76	seq_f33e2d7aee439a357fe49b954c9327068dc5e017a82c1dd9ad3659ea9070edc7	seq_f33e2d7aee439a357fe49b954c9327068dc5e017a82c1dd9ad3659ea9070edc7	existing_challenge	0	seq_f33e2d7aee439a357fe49b954c9327068dc5e017a82c1dd9ad3659ea9070edc7	66	1	1
77	seq_b25b7c87484372aa0d9b6ba22cd70f6af23867f941c7a7e2f4e388a33eab7baf	seq_b25b7c87484372aa0d9b6ba22cd70f6af23867f941c7a7e2f4e388a33eab7baf	existing_challenge	0	seq_b25b7c87484372aa0d9b6ba22cd70f6af23867f941c7a7e2f4e388a33eab7baf	98	1	1
78	seq_ab0be18aca4e297f95c996ff20e4415aa31ab3ee2a4c5b52f7909d021263179a	seq_ab0be18aca4e297f95c996ff20e4415aa31ab3ee2a4c5b52f7909d021263179a	existing_challenge	0	seq_ab0be18aca4e297f95c996ff20e4415aa31ab3ee2a4c5b52f7909d021263179a	601	1	1
79	seq_97cddf2f45e6b3b680bdb1b35411f33f7953f0566494bd6e86221a972dece188	seq_97cddf2f45e6b3b680bdb1b35411f33f7953f0566494bd6e86221a972dece188	existing_challenge	0	seq_97cddf2f45e6b3b680bdb1b35411f33f7953f0566494bd6e86221a972dece188	267	1	1
80	seq_7bea1b38987901f3a1f62572dac9cd9a9edd1e11b0b39ced9a71a5b31dbaac1e	seq_7bea1b38987901f3a1f62572dac9cd9a9edd1e11b0b39ced9a71a5b31dbaac1e	existing_challenge	0	seq_7bea1b38987901f3a1f62572dac9cd9a9edd1e11b0b39ced9a71a5b31dbaac1e	376	1	1
81	seq_ead01eab24ace6fe2f25e143d04940b9fc16b3a0b15ed81e3dabf1ce2f2aec66	seq_ead01eab24ace6fe2f25e143d04940b9fc16b3a0b15ed81e3dabf1ce2f2aec66	existing_challenge	0	seq_ead01eab24ace6fe2f25e143d04940b9fc16b3a0b15ed81e3dabf1ce2f2aec66	103	1	1
82	seq_54a018f221c9036f8e8ed86a319540fee605b5359f5e1992a4e65011eb996686	seq_54a018f221c9036f8e8ed86a319540fee605b5359f5e1992a4e65011eb996686	existing_challenge	0	seq_54a018f221c9036f8e8ed86a319540fee605b5359f5e1992a4e65011eb996686	268	1	1
83	seq_abb02d1c4bcc1363ffee63ae14a5c034621035e90f034e3b712e97d9c2c626bb	seq_abb02d1c4bcc1363ffee63ae14a5c034621035e90f034e3b712e97d9c2c626bb	existing_challenge	0	seq_abb02d1c4bcc1363ffee63ae14a5c034621035e90f034e3b712e97d9c2c626bb	282	1	1
84	seq_347d4850dfa9ed0ec07414a44e7644dd30c9208035a01f00b47bfe7dfb46e75c	seq_347d4850dfa9ed0ec07414a44e7644dd30c9208035a01f00b47bfe7dfb46e75c	existing_challenge	0	seq_347d4850dfa9ed0ec07414a44e7644dd30c9208035a01f00b47bfe7dfb46e75c	364	1	1
85	seq_80421c318576d72853d4ee5a7ed51b20c068c3801e593fe0578e781e585b88ea	seq_80421c318576d72853d4ee5a7ed51b20c068c3801e593fe0578e781e585b88ea	existing_challenge	0	seq_80421c318576d72853d4ee5a7ed51b20c068c3801e593fe0578e781e585b88ea	397	1	1
86	seq_0e7794ef4a23df09bc24c024e6fa614e8b07ee6fe42c3bf5d8a82b984d39e70f	seq_0e7794ef4a23df09bc24c024e6fa614e8b07ee6fe42c3bf5d8a82b984d39e70f	existing_challenge	0	seq_0e7794ef4a23df09bc24c024e6fa614e8b07ee6fe42c3bf5d8a82b984d39e70f	233	1	1
87	seq_614cb515aa529d0a715386c6c3d6b849ab327b836a2c9166f5f2a8d02c249898	seq_614cb515aa529d0a715386c6c3d6b849ab327b836a2c9166f5f2a8d02c249898	existing_challenge	0	seq_614cb515aa529d0a715386c6c3d6b849ab327b836a2c9166f5f2a8d02c249898	690	1	1
88	seq_bb41a52995f03ef834066783ad25fe1bb8440320b9e0e8737fcda5e01d90aab6	seq_bb41a52995f03ef834066783ad25fe1bb8440320b9e0e8737fcda5e01d90aab6	existing_challenge	0	seq_bb41a52995f03ef834066783ad25fe1bb8440320b9e0e8737fcda5e01d90aab6	146	1	1
