clean_id	label	fold	homology_group	ESMCHalo	DeepSaltPro
HPCLAS_TRAIN_N_000043	0	4	HPCLAS_TRAIN_N_000043	-0.997616171836853	-1.2471546892060577
HPCLAS_TRAIN_N_000044	0	4	HPCLAS_TRAIN_N_000044	-2.970221757888794	-1.9402125487634951
HPCLAS_TRAIN_N_000045	0	3	HPCLAS_TRAIN_N_000045	-2.365757703781128	-0.9785345368294104
HPCLAS_TRAIN_N_000046	0	4	HPCLAS_TRAIN_N_000046	-0.204391747713089	-1.0376700527509364
HPCLAS_TRAIN_N_000047	0	3	HPCLAS_TRAIN_N_000047	-2.684936046600342	-4.254712143044747
HPCLAS_TRAIN_N_000048	0	3	HPCLAS_TRAIN_N_000048	-1.852182149887085	-1.029372702853019
HPCLAS_TRAIN_N_000049	0	0	HPCLAS_TRAIN_P_001569	1.0068038702011108	-0.352191351945937
HPCLAS_TRAIN_N_000051	0	4	HPCLAS_TRAIN_P_003059	-3.0383260250091557	-1.911071006562577
HPCLAS_TRAIN_N_000053	0	2	HPCLAS_TRAIN_N_000053	-2.805678129196167	-4.340431203312614
HPCLAS_TRAIN_N_000054	0	0	HPCLAS_TRAIN_N_000054	-2.5292646884918213	-1.6088508023787984
HPCLAS_TRAIN_N_000055	0	1	HPCLAS_TRAIN_N_000055	-2.7201292514801025	-3.129565241644477
HPCLAS_TRAIN_N_000056	0	1	HPCLAS_TRAIN_N_000056	-3.75641655921936	-3.333830860610542
HPCLAS_TRAIN_N_000058	0	4	HPCLAS_TRAIN_N_000058	-3.615047454833984	-1.82901936696156
HPCLAS_TRAIN_N_000059	0	2	HPCLAS_TRAIN_N_000059	-1.421711802482605	-1.4844575804944833
HPCLAS_TRAIN_N_000060	0	4	HPCLAS_TRAIN_N_000060	-2.275779485702514	-2.0312688342106853
HPCLAS_TRAIN_N_000061	0	0	HPCLAS_TRAIN_N_000061	-3.270193576812744	-2.080119590105397
HPCLAS_TRAIN_N_000062	0	4	HPCLAS_TRAIN_N_000062	-2.913670539855957	-2.123637464034588
HPCLAS_TRAIN_N_000063	0	4	HPCLAS_TRAIN_N_000063	-4.006096363067627	-1.791765380034473
HPCLAS_TRAIN_N_000065	0	2	HPCLAS_TRAIN_N_000065	-3.151188850402832	-3.3350632333947616
HPCLAS_TRAIN_N_000066	0	3	HPCLAS_TRAIN_N_000066	-2.515071392059326	-2.085107793236797
HPCLAS_TRAIN_N_000067	0	1	HPCLAS_TRAIN_N_000067	-2.8134777545928955	-2.90967825293799
HPCLAS_TRAIN_N_000069	0	0	HPCLAS_TRAIN_N_000069	0.847270667552948	-0.5243154348252494
HPCLAS_TRAIN_N_000070	0	3	HPCLAS_TRAIN_N_000070	-2.911214828491211	-3.118226989970421
HPCLAS_TRAIN_N_000071	0	2	HPCLAS_TRAIN_N_000071	-1.9074920415878296	-1.680567550806945
HPCLAS_TRAIN_N_000072	0	1	HPCLAS_TRAIN_N_000072	-2.690944194793701	-2.6425218016867764
HPCLAS_TRAIN_N_000073	0	3	HPCLAS_TRAIN_N_000073	-2.556715488433838	-1.8088562862990931
HPCLAS_TRAIN_N_000075	0	3	HPCLAS_TRAIN_N_000075	-1.8297370672225952	-0.2027828984989935
HPCLAS_TRAIN_N_000076	0	2	HPCLAS_TRAIN_N_000076	-1.541345238685608	-0.2900312433165783
HPCLAS_TRAIN_N_000078	0	2	HPCLAS_TRAIN_N_000078	-1.7282931804656982	-0.8143745369560441
HPCLAS_TRAIN_N_000079	0	0	HPCLAS_TRAIN_N_000079	-2.5704731941223145	-2.1376685370293766
HPCLAS_TRAIN_N_000080	0	3	HPCLAS_TRAIN_N_000080	-2.3780524730682373	-2.7567977210777457
HPCLAS_TRAIN_N_000082	0	1	HPCLAS_TRAIN_N_000082	-2.3280482292175293	-3.0291681694057044
HPCLAS_TRAIN_N_000083	0	4	HPCLAS_TRAIN_N_000083	-3.387251138687134	-2.036914696407304
HPCLAS_TRAIN_N_000084	0	3	HPCLAS_TRAIN_N_000084	-2.864721298217773	-2.880376288014455
HPCLAS_TRAIN_N_000085	0	3	HPCLAS_TRAIN_N_000085	-3.1332364082336426	-3.965942627427076
HPCLAS_TRAIN_N_000086	0	0	HPCLAS_TRAIN_N_000086	-2.4444565773010254	-1.7833355333194725
HPCLAS_TRAIN_N_000088	0	0	HPCLAS_TRAIN_N_000088	0.5898094773292542	1.1076107546810363
HPCLAS_TRAIN_N_000090	0	3	HPCLAS_TRAIN_N_000090	-2.27766227722168	-3.320755319713064
HPCLAS_TRAIN_N_000093	0	2	HPCLAS_TRAIN_N_000093	-0.9303215742111206	-0.1599314615689579
HPCLAS_TRAIN_N_000094	0	4	HPCLAS_TRAIN_N_000094	-3.071530342102051	-2.0251923133392005
HPCLAS_TRAIN_N_000095	0	2	HPCLAS_TRAIN_N_000095	-0.3108554780483246	-1.428881286687243
HPCLAS_TRAIN_N_000096	0	1	HPCLAS_TRAIN_N_000096	-3.3282816410064697	-3.107079275037127
HPCLAS_TRAIN_N_000097	0	4	HPCLAS_TRAIN_N_000097	-2.384775161743164	-1.0427001923060035
HPCLAS_TRAIN_N_000098	0	1	HPCLAS_TRAIN_N_000098	-2.4806787967681885	-3.051751406906931
HPCLAS_TRAIN_N_000099	0	3	HPCLAS_TRAIN_N_000099	-3.12316632270813	-2.8307809633462093
HPCLAS_TRAIN_N_000101	0	0	HPCLAS_TRAIN_N_000101	-2.624831199645996	-2.877260472000326
HPCLAS_TRAIN_N_000102	0	0	HPCLAS_TRAIN_N_000102	-1.26532781124115	-0.3959201263636841
HPCLAS_TRAIN_N_000103	0	1	HPCLAS_TRAIN_N_000103	-1.1002671718597412	-2.430547723159763
HPCLAS_TRAIN_N_000105	0	4	HPCLAS_TRAIN_N_000105	-2.86661148071289	-2.217771090349392
HPCLAS_TRAIN_N_000107	0	0	HPCLAS_TRAIN_N_000107	-1.4474222660064695	-0.8553091796260845
HPCLAS_TRAIN_N_000109	0	4	HPCLAS_TRAIN_N_000109	-1.177390456199646	-1.6212519563540448
HPCLAS_TRAIN_N_000110	0	3	HPCLAS_TRAIN_N_000110	-1.6514759063720703	-1.762445319926958
HPCLAS_TRAIN_N_000111	0	2	HPCLAS_TRAIN_N_000111	-2.549067735671997	-3.492481174818477
HPCLAS_TRAIN_N_000112	0	3	HPCLAS_TRAIN_N_000112	-2.604194402694702	-1.508368946119505
HPCLAS_TRAIN_N_000113	0	3	HPCLAS_TRAIN_N_000113	-2.868034839630127	-2.296238898008084
HPCLAS_TRAIN_N_000114	0	0	HPCLAS_TRAIN_N_000114	-2.068076610565185	-1.206003403028
HPCLAS_TRAIN_N_000115	0	2	HPCLAS_TRAIN_N_000115	-1.8816041946411133	-0.4337957553065102
HPCLAS_TRAIN_N_000116	0	1	HPCLAS_TRAIN_N_000116	-2.2089104652404785	-1.4171697753950478
HPCLAS_TRAIN_N_000117	0	1	HPCLAS_TRAIN_N_000117	-1.7432529926300049	-2.190143578627075
HPCLAS_TRAIN_N_000118	0	2	HPCLAS_TRAIN_N_000118	-2.6753017902374268	-2.6757688499353067
HPCLAS_TRAIN_N_000119	0	2	HPCLAS_TRAIN_N_000119	-2.383845806121826	-4.135688712815923
HPCLAS_TRAIN_N_000123	0	1	HPCLAS_TRAIN_N_000123	-3.0992095470428467	-2.978350350745712
HPCLAS_TRAIN_N_000124	0	0	HPCLAS_TRAIN_N_000124	-2.7488269805908203	-2.21195246428128
HPCLAS_TRAIN_N_000125	0	0	HPCLAS_TRAIN_N_000125	-1.5186280012130735	-0.6969718589438597
HPCLAS_TRAIN_N_000126	0	4	HPCLAS_TRAIN_N_000126	-1.3834807872772217	-0.8671699775622032
HPCLAS_TRAIN_N_000128	0	0	HPCLAS_TRAIN_N_000128	-0.2662264704704284	-0.8177668262104771
HPCLAS_TRAIN_N_000129	0	2	HPCLAS_TRAIN_N_000129	-0.3182710111141205	-1.9374918363702491
HPCLAS_TRAIN_N_000130	0	4	HPCLAS_TRAIN_N_000130	-0.8382867574691772	-1.308465532437065
HPCLAS_TRAIN_N_000131	0	2	HPCLAS_TRAIN_N_000131	-3.58870267868042	-3.178781013499589
HPCLAS_TRAIN_N_000132	0	2	HPCLAS_TRAIN_N_000132	-1.7026387453079224	-1.836987054816838
HPCLAS_TRAIN_N_000133	0	4	HPCLAS_TRAIN_N_000133	-3.1140778064727783	-1.8667474039266545
HPCLAS_TRAIN_N_000134	0	1	HPCLAS_TRAIN_N_000134	-1.3945446014404297	-2.224128215108989
HPCLAS_TRAIN_N_000135	0	4	HPCLAS_TRAIN_N_000135	-0.326710969209671	-0.3227560736632472
HPCLAS_TRAIN_N_000136	0	0	HPCLAS_TRAIN_N_000136	-2.6729543209075928	-2.596473039930148
HPCLAS_TRAIN_N_000138	0	3	HPCLAS_TRAIN_N_000138	-1.9300204515457156	-0.926756742096706
HPCLAS_TRAIN_N_000139	0	0	HPCLAS_TRAIN_N_000139	-2.704983949661255	-2.610626259464636
HPCLAS_TRAIN_N_000140	0	0	HPCLAS_TRAIN_N_000140	-1.3233009576797483	-0.8873293530675617
HPCLAS_TRAIN_N_000141	0	3	HPCLAS_TRAIN_N_000141	-1.5437840223312378	-2.362073925147724
HPCLAS_TRAIN_N_000142	0	3	HPCLAS_TRAIN_N_000142	-0.409471184015274	-0.1737710302075741
HPCLAS_TRAIN_N_000143	0	0	HPCLAS_TRAIN_P_000687	-2.1419293880462646	-1.4059288808554216
HPCLAS_TRAIN_N_000144	0	3	HPCLAS_TRAIN_N_000144	-2.623619079589844	-3.114373249472586
HPCLAS_TRAIN_N_000145	0	1	HPCLAS_TRAIN_N_000145	-1.6785882711410522	-1.502034641309902
HPCLAS_TRAIN_N_000147	0	0	HPCLAS_TRAIN_N_000147	-2.640355348587036	-1.7214790354070186
HPCLAS_TRAIN_N_000148	0	4	HPCLAS_TRAIN_N_000148	-2.7506721019744877	-1.525919849051388
HPCLAS_TRAIN_N_000150	0	0	HPCLAS_TRAIN_N_000150	-2.637707233428955	-2.181328960743078
HPCLAS_TRAIN_N_000151	0	2	HPCLAS_TRAIN_N_000151	-1.6511446237564087	-1.2198536256006074
HPCLAS_TRAIN_N_000152	0	3	HPCLAS_TRAIN_N_000152	-2.0514416694641118	-2.707957762010323
HPCLAS_TRAIN_N_000153	0	3	HPCLAS_TRAIN_N_000153	-2.8265178203582764	-2.616886350355804
HPCLAS_TRAIN_N_000154	0	2	HPCLAS_TRAIN_N_000154	-0.5985889434814453	0.2006890464847749
HPCLAS_TRAIN_N_000156	0	1	HPCLAS_TRAIN_N_000156	-2.039733648300171	-2.960010085651574
HPCLAS_TRAIN_N_000157	0	3	HPCLAS_TRAIN_N_000157	-0.5346912145614624	-0.1971842956105271
HPCLAS_TRAIN_N_000158	0	4	HPCLAS_TRAIN_N_000158	-2.7453513145446777	-1.7700923097424797
HPCLAS_TRAIN_N_000159	0	3	HPCLAS_TRAIN_N_000159	-1.2232710123062134	-1.3881628778827548
HPCLAS_TRAIN_N_000160	0	4	HPCLAS_TRAIN_N_000160	-1.850134015083313	-0.9124104809772612
HPCLAS_TRAIN_N_000161	0	1	HPCLAS_TRAIN_N_000161	-0.2299385070800781	-0.4969071916481417
HPCLAS_TRAIN_N_000162	0	1	HPCLAS_TRAIN_N_000162	-2.443699598312378	-3.0123257810210764
HPCLAS_TRAIN_N_000163	0	3	HPCLAS_TRAIN_N_000163	-2.689755916595459	-2.759077744846456
HPCLAS_TRAIN_N_000164	0	0	HPCLAS_TRAIN_N_000164	-3.874318599700928	-0.4865709726140184
HPCLAS_TRAIN_N_000165	0	0	HPCLAS_TRAIN_N_000165	-2.5084118843078613	-2.2488944160057187
HPCLAS_TRAIN_N_000166	0	0	HPCLAS_TRAIN_N_000166	-3.999245166778565	-3.715770722326965
HPCLAS_TRAIN_N_000167	0	1	HPCLAS_TRAIN_N_000167	-1.6162939071655271	-1.7936780016437024
HPCLAS_TRAIN_N_000168	0	1	HPCLAS_TRAIN_N_000168	-0.8859528303146362	0.0850524650841975
HPCLAS_TRAIN_N_000169	0	1	HPCLAS_TRAIN_N_000169	-3.2435741424560547	-4.018809270134788
HPCLAS_TRAIN_N_000171	0	0	HPCLAS_TRAIN_N_000171	-0.1245105415582656	0.1272581031668771
HPCLAS_TRAIN_N_000172	0	0	HPCLAS_TRAIN_N_000172	-1.4150512218475342	-0.3667790314369834
HPCLAS_TRAIN_N_000173	0	0	HPCLAS_TRAIN_N_000173	-0.082310065627098	-0.0428782819089607
HPCLAS_TRAIN_N_000174	0	3	HPCLAS_TRAIN_N_000174	-0.9507955312728882	0.95825564077597
HPCLAS_TRAIN_N_000175	0	0	HPCLAS_TRAIN_N_000175	-2.738046169281006	-3.032740587308271
HPCLAS_TRAIN_N_000176	0	1	HPCLAS_TRAIN_N_000176	-2.2021472454071045	-1.728365838050096
HPCLAS_TRAIN_N_000177	0	0	HPCLAS_TRAIN_N_000177	-2.704627752304077	-2.852522932256487
HPCLAS_TRAIN_N_000178	0	2	HPCLAS_TRAIN_N_000178	-1.5543657541275024	-2.084286248633553
HPCLAS_TRAIN_N_000180	0	4	HPCLAS_TRAIN_N_000180	-2.2913544178009038	-1.8750636095913935
HPCLAS_TRAIN_N_000182	0	2	HPCLAS_TRAIN_N_000182	-1.8808192014694212	-1.496407022243033
HPCLAS_TRAIN_N_000183	0	3	HPCLAS_TRAIN_N_000183	-1.8004101514816284	-2.1306843815200884
HPCLAS_TRAIN_N_000184	0	1	HPCLAS_TRAIN_N_000184	-1.919680118560791	-1.1811089351087023
HPCLAS_TRAIN_N_000185	0	4	HPCLAS_TRAIN_N_000185	-2.2620131969451904	-1.6994584425523638
HPCLAS_TRAIN_N_000186	0	3	HPCLAS_TRAIN_N_000186	-3.5601119995117188	-3.1351027924861503
HPCLAS_TRAIN_N_000187	0	1	HPCLAS_TRAIN_N_000187	-1.634079933166504	-0.9153507085879108
HPCLAS_TRAIN_N_000188	0	1	HPCLAS_TRAIN_N_000188	-2.803088903427124	-2.709148471386988
HPCLAS_TRAIN_N_000189	0	3	HPCLAS_TRAIN_N_000189	0.3659514188766479	2.146540872708975
HPCLAS_TRAIN_N_000190	0	2	HPCLAS_TRAIN_N_000190	-1.9998656511306765	-2.823917579953326
HPCLAS_TRAIN_N_000192	0	4	HPCLAS_TRAIN_N_000192	-2.9532923698425293	-2.375583450603081
HPCLAS_TRAIN_N_000193	0	3	HPCLAS_TRAIN_N_000193	-2.1955904960632324	-2.189498626666908
HPCLAS_TRAIN_N_000194	0	3	HPCLAS_TRAIN_N_000194	-2.527724266052246	-3.331171578613552
HPCLAS_TRAIN_N_000195	0	4	HPCLAS_TRAIN_N_000195	0.5044374465942383	1.1496835857439645
HPCLAS_TRAIN_N_000196	0	0	HPCLAS_TRAIN_N_000196	-2.344644069671631	-1.8217486045832365
HPCLAS_TRAIN_N_000197	0	1	HPCLAS_TRAIN_N_000197	-2.355189561843872	-1.8670694017754776
HPCLAS_TRAIN_N_000198	0	1	HPCLAS_TRAIN_N_000198	-1.988824486732483	-0.9241929760158446
HPCLAS_TRAIN_N_000199	0	0	HPCLAS_TRAIN_N_000199	-1.9630879163742063	-1.182047700568235
HPCLAS_TRAIN_N_000200	0	4	HPCLAS_TRAIN_N_000200	-2.661921501159668	-1.955704198261403
HPCLAS_TRAIN_N_000201	0	4	HPCLAS_TRAIN_N_000201	-1.037539005279541	-1.1482275772991
HPCLAS_TRAIN_N_000202	0	4	HPCLAS_TRAIN_N_004968	-0.0081515461206436	0.9654364469272408
HPCLAS_TRAIN_N_000203	0	0	HPCLAS_TRAIN_N_000203	-2.43984317779541	-2.6311922095755635
HPCLAS_TRAIN_N_000205	0	0	HPCLAS_TRAIN_N_000205	-3.4732282161712646	-2.4932188823136867
HPCLAS_TRAIN_N_000206	0	1	HPCLAS_TRAIN_N_000206	-3.4717931747436523	-3.921047426839874
HPCLAS_TRAIN_N_000207	0	4	HPCLAS_TRAIN_N_000207	-0.8284828662872314	-1.5610715643472863
HPCLAS_TRAIN_N_000208	0	0	HPCLAS_TRAIN_N_000208	-2.0473318099975586	-1.6627654299336854
HPCLAS_TRAIN_N_000210	0	4	HPCLAS_TRAIN_N_000210	-2.575197219848633	-1.9970494681135045
HPCLAS_TRAIN_N_000212	0	0	HPCLAS_TRAIN_N_000212	-2.4856343269348145	-2.059607452312471
HPCLAS_TRAIN_N_000213	0	4	HPCLAS_TRAIN_N_000213	-2.412129640579224	-1.6497747223915835
HPCLAS_TRAIN_N_000215	0	4	HPCLAS_TRAIN_N_000215	-2.766293525695801	-1.8498502199952225
HPCLAS_TRAIN_N_000217	0	0	HPCLAS_TRAIN_N_000217	-2.832069396972656	-1.716644991226542
HPCLAS_TRAIN_N_000218	0	1	HPCLAS_TRAIN_N_000218	-2.754611730575561	-1.9029662195244288
HPCLAS_TRAIN_N_000219	0	1	HPCLAS_TRAIN_N_000219	-1.4113633632659912	-0.8910030194100461
HPCLAS_TRAIN_N_000220	0	1	HPCLAS_TRAIN_N_000220	-0.630699634552002	-0.6449796395582542
HPCLAS_TRAIN_N_000222	0	2	HPCLAS_TRAIN_N_000222	0.018761646002531	-1.0965764352725085
HPCLAS_TRAIN_N_000223	0	3	HPCLAS_TRAIN_N_000223	-2.454237937927246	-3.173752775217036
HPCLAS_TRAIN_N_000224	0	1	HPCLAS_TRAIN_N_000224	-1.6022894382476809	-3.6351733336620975
HPCLAS_TRAIN_N_000225	0	0	HPCLAS_TRAIN_N_000225	-2.8239049911499023	-3.229357327033105
HPCLAS_TRAIN_N_000226	0	0	HPCLAS_TRAIN_N_000226	-3.3921070098876958	-3.2881228976760744
HPCLAS_TRAIN_N_000227	0	3	HPCLAS_TRAIN_N_000227	-2.0331015586853027	-1.7894019006817072
HPCLAS_TRAIN_N_000228	0	2	HPCLAS_TRAIN_N_000228	-2.335845470428467	-2.5295665916616024
HPCLAS_TRAIN_N_000229	0	3	HPCLAS_TRAIN_N_000229	-0.9546257257461548	1.341510295289135
HPCLAS_TRAIN_N_000232	0	0	HPCLAS_TRAIN_N_000232	-1.910059094429016	-1.65142247734739
HPCLAS_TRAIN_N_000233	0	4	HPCLAS_TRAIN_N_000233	-1.4298572540283203	-0.2930895075430768
HPCLAS_TRAIN_N_000234	0	0	HPCLAS_TRAIN_N_000234	-2.234551429748535	-1.510153429396338
HPCLAS_TRAIN_N_000235	0	0	HPCLAS_TRAIN_N_000235	-2.7336266040802	-2.364776056307188
HPCLAS_TRAIN_N_000236	0	2	HPCLAS_TRAIN_N_000236	2.312690258026123	1.5058561649200188
HPCLAS_TRAIN_N_000237	0	0	HPCLAS_TRAIN_N_000237	-1.1862691640853882	-0.870884064017908
HPCLAS_TRAIN_N_000238	0	0	HPCLAS_TRAIN_N_000238	-2.006621599197388	-1.3671092007892514
HPCLAS_TRAIN_N_000239	0	2	HPCLAS_TRAIN_N_000239	-2.647946834564209	-3.340366402799945
HPCLAS_TRAIN_N_000240	0	1	HPCLAS_TRAIN_N_000240	-1.4381916522979736	-1.4512598939842585
HPCLAS_TRAIN_N_000241	0	4	HPCLAS_TRAIN_N_000241	-1.7889679670333862	-0.7402599909295016
HPCLAS_TRAIN_N_000242	0	2	HPCLAS_TRAIN_N_000242	-1.110296368598938	-1.523003329420216
HPCLAS_TRAIN_N_000244	0	4	HPCLAS_TRAIN_N_000244	-2.108449935913086	-1.525791358015667
HPCLAS_TRAIN_N_000245	0	4	HPCLAS_TRAIN_N_000245	-4.360448360443115	-2.2674772851344724
HPCLAS_TRAIN_N_000247	0	0	HPCLAS_TRAIN_N_000247	-3.327202320098877	-2.9175316930098893
HPCLAS_TRAIN_N_000248	0	1	HPCLAS_TRAIN_N_000248	-2.769001007080078	-3.828342001663565
HPCLAS_TRAIN_N_000249	0	1	HPCLAS_TRAIN_N_000249	-2.1866040229797363	-0.8350007323816024
HPCLAS_TRAIN_N_000250	0	1	HPCLAS_TRAIN_N_000250	1.0876425504684448	0.7472968150043435
HPCLAS_TRAIN_N_000251	0	3	HPCLAS_TRAIN_N_000251	-2.610107421875	-1.348858675781506
HPCLAS_TRAIN_N_000252	0	1	HPCLAS_TRAIN_N_000252	-2.1017403602600098	-1.836602406818636
HPCLAS_TRAIN_N_000253	0	3	HPCLAS_TRAIN_N_000253	-1.0791202783584597	-0.3795662250827518
HPCLAS_TRAIN_N_000254	0	0	HPCLAS_TRAIN_N_000254	-2.5976901054382324	-1.9180171626739733
HPCLAS_TRAIN_N_000256	0	0	HPCLAS_TRAIN_N_000256	-1.1869319677352903	1.1505794097764874
HPCLAS_TRAIN_N_000257	0	1	HPCLAS_TRAIN_N_000257	-0.0379911810159683	0.4668222688704946
HPCLAS_TRAIN_N_000258	0	1	HPCLAS_TRAIN_N_000258	-2.186967372894287	-2.165363304677377
HPCLAS_TRAIN_N_000260	0	1	HPCLAS_TRAIN_N_000260	-3.017376661300659	-3.3846554903758013
HPCLAS_TRAIN_N_000261	0	0	HPCLAS_TRAIN_N_000261	-2.848841428756714	-2.233030321203493
HPCLAS_TRAIN_N_000262	0	0	HPCLAS_TRAIN_N_000262	-1.850617289543152	-2.6451174749447577
HPCLAS_TRAIN_N_000263	0	4	HPCLAS_TRAIN_N_000263	-0.9587990045547484	-0.4491853628618211
HPCLAS_TRAIN_N_000264	0	3	HPCLAS_TRAIN_N_000264	-2.45522403717041	-3.5331607218237897
HPCLAS_TRAIN_N_000265	0	2	HPCLAS_TRAIN_N_000265	-0.4148632884025574	-0.1996852082356915
HPCLAS_TRAIN_N_000267	0	1	HPCLAS_TRAIN_N_000267	-3.128735303878784	-3.5816746346604806
HPCLAS_TRAIN_N_000268	0	4	HPCLAS_TRAIN_N_000268	-2.965542316436768	-1.5904561181939252
HPCLAS_TRAIN_N_000269	0	2	HPCLAS_TRAIN_N_000269	-1.41741144657135	-1.5029165309102617
HPCLAS_TRAIN_N_000270	0	3	HPCLAS_TRAIN_N_000270	-3.740309238433838	-3.876338638352244
HPCLAS_TRAIN_N_000271	0	1	HPCLAS_TRAIN_N_000271	-1.452497482299805	-2.5082094489693407
HPCLAS_TRAIN_N_000273	0	0	HPCLAS_TRAIN_N_000273	1.996215581893921	1.6922461121970471
HPCLAS_TRAIN_N_000274	0	0	HPCLAS_TRAIN_N_000274	-3.584537506103516	-2.3661272553887294
HPCLAS_TRAIN_N_000275	0	2	HPCLAS_TRAIN_N_000275	-2.4254612922668457	-1.6473645887768498
HPCLAS_TRAIN_N_000276	0	0	HPCLAS_TRAIN_N_000276	-1.5924973487854004	-0.657718004312936
HPCLAS_TRAIN_N_000277	0	4	HPCLAS_TRAIN_N_000277	-2.329923152923584	-1.359297535996292
HPCLAS_TRAIN_N_000278	0	4	HPCLAS_TRAIN_N_000278	-2.316521167755127	-0.9918136023347324
HPCLAS_TRAIN_N_000279	0	0	HPCLAS_TRAIN_N_000279	-2.5145139694213867	-1.4671752501639177
HPCLAS_TRAIN_N_000280	0	4	HPCLAS_TRAIN_N_000280	-2.9689886569976807	-1.4159765182707325
HPCLAS_TRAIN_N_000281	0	4	HPCLAS_TRAIN_N_000281	-1.1141818761825562	-1.024981186512722
