positive_clean_id	positive_fold	positive_homology_group	negative_clean_id	negative_fold	negative_homology_group	negative_quality_tier	negative_mean_label_support	aac_physchem_scaled_distance	pair_status
HPCLAS_TRAIN_P_000004	0	HPCLAS_TRAIN_P_000004	HPCLAS_TRAIN_N_001793	4	HPCLAS_TRAIN_N_001793	D_hard_sample	0.47940186079885977	6.6588530802263195	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000005	3	HPCLAS_TRAIN_P_000005	HPCLAS_TRAIN_N_004259	0	HPCLAS_TRAIN_N_004259	B_ambiguous	0.012829822492472406	4.163744333073856	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000005	3	HPCLAS_TRAIN_P_000005	HPCLAS_TRAIN_N_002060	0	HPCLAS_TRAIN_N_002060	D_hard_sample	0.254159178046559	4.342497482390808	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000005	3	HPCLAS_TRAIN_P_000005	HPCLAS_TRAIN_N_001036	3	HPCLAS_TRAIN_N_001036	D_hard_sample	0.3055779966441248	4.5862223418090995	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000006	0	HPCLAS_TRAIN_P_000006	HPCLAS_TRAIN_N_001418	4	HPCLAS_TRAIN_N_001418	D_hard_sample	0.6122436877430601	10.206409489409387	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000006	0	HPCLAS_TRAIN_P_000006	HPCLAS_TRAIN_N_003242	0	HPCLAS_TRAIN_N_003242	D_hard_sample	0.10166254208181114	12.328514576904094	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000006	0	HPCLAS_TRAIN_P_000006	HPCLAS_TRAIN_N_001834	3	HPCLAS_TRAIN_N_001834	D_hard_sample	0.38650621587821155	13.248474287168504	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000008	3	HPCLAS_TRAIN_P_000008	HPCLAS_TRAIN_N_003548	4	HPCLAS_TRAIN_N_003548	B_ambiguous	0.2984569916885719	3.2857661558399704	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000008	3	HPCLAS_TRAIN_P_000008	HPCLAS_TRAIN_N_000885	4	HPCLAS_TRAIN_N_000885	D_hard_sample	0.23318343353189896	3.3826017885660664	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000008	3	HPCLAS_TRAIN_P_000008	HPCLAS_TRAIN_N_002112	1	HPCLAS_TRAIN_N_002112	D_hard_sample	0.6596990833803352	3.5568274956828785	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000009	2	HPCLAS_TRAIN_P_000009	HPCLAS_TRAIN_N_002733	4	HPCLAS_TRAIN_N_002733	D_hard_sample	0.5485437676408945	3.845389506679705	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000009	2	HPCLAS_TRAIN_P_000009	HPCLAS_TRAIN_N_000095	2	HPCLAS_TRAIN_N_000095	D_hard_sample	0.6009863011480617	4.156604726867715	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000009	2	HPCLAS_TRAIN_P_000009	HPCLAS_TRAIN_N_004784	1	HPCLAS_TRAIN_N_004784	D_hard_sample	0.653464461455037	4.199114135484934	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000010	1	HPCLAS_TRAIN_P_000010	HPCLAS_TRAIN_N_004145	4	HPCLAS_TRAIN_N_004145	D_hard_sample	0.5007300459290893	5.875780006189358	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000010	1	HPCLAS_TRAIN_P_000010	HPCLAS_TRAIN_N_001427	1	HPCLAS_TRAIN_N_001427	D_hard_sample	0.5210066628821332	5.928345548881644	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000010	1	HPCLAS_TRAIN_P_000010	HPCLAS_TRAIN_N_004370	0	HPCLAS_TRAIN_N_004370	D_hard_sample	0.4087112467815868	5.938952525172921	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000011	1	HPCLAS_TRAIN_P_000011	HPCLAS_TRAIN_N_001977	0	HPCLAS_TRAIN_N_001977	B_ambiguous	0.46183768848801865	3.506212231683426	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000011	1	HPCLAS_TRAIN_P_000011	HPCLAS_TRAIN_N_000237	0	HPCLAS_TRAIN_N_000237	B_ambiguous	0.6156231338784425	3.529867333803787	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000011	1	HPCLAS_TRAIN_P_000011	HPCLAS_TRAIN_N_004051	2	HPCLAS_TRAIN_N_004051	D_hard_sample	0.693838741520294	3.9009574013883572	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000012	1	HPCLAS_TRAIN_P_000012	HPCLAS_TRAIN_N_005042	0	HPCLAS_TRAIN_N_005042	D_hard_sample	0.5410387882743999	5.809653109576022	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000012	1	HPCLAS_TRAIN_P_000012	HPCLAS_TRAIN_N_000599	4	HPCLAS_TRAIN_N_000599	D_hard_sample	0.6588759989648684	5.9196115936565805	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000012	1	HPCLAS_TRAIN_P_000012	HPCLAS_TRAIN_N_000485	4	HPCLAS_TRAIN_N_000485	B_ambiguous	0.5596681364729977	5.936392162008302	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000013	2	HPCLAS_TRAIN_P_000013	HPCLAS_TRAIN_N_001364	4	HPCLAS_TRAIN_N_001364	D_hard_sample	0.6212463582095548	6.467434485431532	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000013	2	HPCLAS_TRAIN_P_000013	HPCLAS_TRAIN_N_004458	4	HPCLAS_TRAIN_N_004458	D_hard_sample	0.6238079388870287	6.503496945474697	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000013	2	HPCLAS_TRAIN_P_000013	HPCLAS_TRAIN_N_001140	0	HPCLAS_TRAIN_N_001140	D_hard_sample	0.37878934964632766	6.699847013642437	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000014	1	HPCLAS_TRAIN_P_000014	HPCLAS_TRAIN_N_003151	4	HPCLAS_TRAIN_N_003151	D_hard_sample	0.6642336159355776	4.97488995520391	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000014	1	HPCLAS_TRAIN_P_000014	HPCLAS_TRAIN_N_002199	1	HPCLAS_TRAIN_N_002199	B_ambiguous	0.09993338489973347	5.349846991917542	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000014	1	HPCLAS_TRAIN_P_000014	HPCLAS_TRAIN_N_004272	4	HPCLAS_TRAIN_N_004272	D_hard_sample	0.6534774519774492	5.575689444278598	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000015	2	HPCLAS_TRAIN_P_000015	HPCLAS_TRAIN_N_004940	4	HPCLAS_TRAIN_N_004940	D_hard_sample	0.248272960404719	5.141812087101857	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000015	2	HPCLAS_TRAIN_P_000015	HPCLAS_TRAIN_N_003710	0	HPCLAS_TRAIN_N_003710	D_hard_sample	0.642479517201001	5.471151544401769	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000015	2	HPCLAS_TRAIN_P_000015	HPCLAS_TRAIN_N_002130	2	HPCLAS_TRAIN_N_002130	D_hard_sample	0.7575862514116892	6.012012600699466	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000016	2	HPCLAS_TRAIN_P_000016	HPCLAS_TRAIN_N_004269	0	HPCLAS_TRAIN_N_004269	D_hard_sample	0.77069529093825	4.305713194743285	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000016	2	HPCLAS_TRAIN_P_000016	HPCLAS_TRAIN_N_004688	0	HPCLAS_TRAIN_N_004688	D_hard_sample	0.20629262694254694	4.36427847616349	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000016	2	HPCLAS_TRAIN_P_000016	HPCLAS_TRAIN_N_002914	4	HPCLAS_TRAIN_N_002914	D_hard_sample	0.5689316209348398	4.447225482859938	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000017	0	HPCLAS_TRAIN_P_000017	HPCLAS_TRAIN_N_002199	1	HPCLAS_TRAIN_N_002199	B_ambiguous	0.09993338489973347	2.820861973302049	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000017	0	HPCLAS_TRAIN_P_000017	HPCLAS_TRAIN_N_000611	3	HPCLAS_TRAIN_P_005255	B_ambiguous	0.16667098605719835	3.2262792321989155	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000017	0	HPCLAS_TRAIN_P_000017	HPCLAS_TRAIN_N_002649	0	HPCLAS_TRAIN_N_002649	D_hard_sample	0.709750842755323	3.666635938173149	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000019	4	HPCLAS_TRAIN_P_005491	HPCLAS_TRAIN_N_003203	1	HPCLAS_TRAIN_N_003203	B_ambiguous	0.0482252793154588	6.361434115976164	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000019	4	HPCLAS_TRAIN_P_005491	HPCLAS_TRAIN_N_001834	3	HPCLAS_TRAIN_N_001834	D_hard_sample	0.38650621587821155	6.738326156684132	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000019	4	HPCLAS_TRAIN_P_005491	HPCLAS_TRAIN_N_003810	1	HPCLAS_TRAIN_N_003810	B_ambiguous	0.027906369822032467	7.416652980949149	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000020	1	HPCLAS_TRAIN_P_000020	HPCLAS_TRAIN_N_002047	3	HPCLAS_TRAIN_N_002047	D_hard_sample	0.4541267912346245	4.668464739912061	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000020	1	HPCLAS_TRAIN_P_000020	HPCLAS_TRAIN_N_004080	1	HPCLAS_TRAIN_N_004080	D_hard_sample	0.3778281472191356	4.995625122187397	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000020	1	HPCLAS_TRAIN_P_000020	HPCLAS_TRAIN_N_001655	4	HPCLAS_TRAIN_N_001655	D_hard_sample	0.7230204189707434	5.0715988986131855	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000021	1	HPCLAS_TRAIN_P_000021	HPCLAS_TRAIN_N_004051	2	HPCLAS_TRAIN_N_004051	D_hard_sample	0.693838741520294	5.287968377561533	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000021	1	HPCLAS_TRAIN_P_000021	HPCLAS_TRAIN_N_001769	0	HPCLAS_TRAIN_N_001769	D_hard_sample	0.3617050797819692	5.86877886938511	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000021	1	HPCLAS_TRAIN_P_000021	HPCLAS_TRAIN_N_002911	4	HPCLAS_TRAIN_P_004588	B_ambiguous	0.7177961960342459	5.9151246545203024	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000022	3	HPCLAS_TRAIN_P_000022	HPCLAS_TRAIN_N_003857	4	HPCLAS_TRAIN_N_003857	D_hard_sample	0.6960848634170921	4.046330089175479	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000022	3	HPCLAS_TRAIN_P_000022	HPCLAS_TRAIN_N_003166	2	HPCLAS_TRAIN_N_003166	D_hard_sample	0.25833153511806667	4.173069949343354	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000022	3	HPCLAS_TRAIN_P_000022	HPCLAS_TRAIN_N_004714	0	HPCLAS_TRAIN_N_004714	B_ambiguous	0.7373553692121201	4.421423474035677	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000023	2	HPCLAS_TRAIN_P_000023	HPCLAS_TRAIN_N_000110	3	HPCLAS_TRAIN_N_000110	D_hard_sample	0.7455040345883722	3.305660637685671	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000023	2	HPCLAS_TRAIN_P_000023	HPCLAS_TRAIN_N_004812	0	HPCLAS_TRAIN_N_004812	B_ambiguous	0.2857576031651087	3.380898078444612	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000023	2	HPCLAS_TRAIN_P_000023	HPCLAS_TRAIN_N_002928	3	HPCLAS_TRAIN_N_002928	D_hard_sample	0.23996224975140934	3.472102184081882	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000024	1	HPCLAS_TRAIN_P_000024	HPCLAS_TRAIN_N_002098	3	HPCLAS_TRAIN_N_002098	D_hard_sample	0.7626197070535898	3.887880379212247	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000024	1	HPCLAS_TRAIN_P_000024	HPCLAS_TRAIN_N_001968	2	HPCLAS_TRAIN_N_001968	D_hard_sample	0.6706529513015829	4.312246547809618	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000024	1	HPCLAS_TRAIN_P_000024	HPCLAS_TRAIN_N_002378	3	HPCLAS_TRAIN_N_002378	D_hard_sample	0.7281434394805344	4.3132628442110255	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000025	4	HPCLAS_TRAIN_P_000025	HPCLAS_TRAIN_N_000318	4	HPCLAS_TRAIN_N_000318	D_hard_sample	0.15316792801307874	3.2879134323396793	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000025	4	HPCLAS_TRAIN_P_000025	HPCLAS_TRAIN_N_000994	0	HPCLAS_TRAIN_N_000994	D_hard_sample	0.5247367154680744	3.4340862232781033	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000025	4	HPCLAS_TRAIN_P_000025	HPCLAS_TRAIN_N_003631	4	HPCLAS_TRAIN_N_003631	D_hard_sample	0.5392839476911244	3.447938186509484	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000026	3	HPCLAS_TRAIN_P_000026	HPCLAS_TRAIN_N_004062	3	HPCLAS_TRAIN_N_004062	D_hard_sample	0.7240425111149923	3.5582020568899155	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000026	3	HPCLAS_TRAIN_P_000026	HPCLAS_TRAIN_N_003505	4	HPCLAS_TRAIN_N_003505	D_hard_sample	0.1257766250189981	3.6262008619816934	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000026	3	HPCLAS_TRAIN_P_000026	HPCLAS_TRAIN_N_004997	3	HPCLAS_TRAIN_P_003475	B_ambiguous	0.4346871995888713	3.779613392330485	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000027	4	HPCLAS_TRAIN_P_000027	HPCLAS_TRAIN_N_004634	3	HPCLAS_TRAIN_N_004634	D_hard_sample	0.70366786559291	5.168990117485821	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000027	4	HPCLAS_TRAIN_P_000027	HPCLAS_TRAIN_N_002387	4	HPCLAS_TRAIN_N_002387	D_hard_sample	0.3386076620606711	5.220791386053661	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000027	4	HPCLAS_TRAIN_P_000027	HPCLAS_TRAIN_N_003541	4	HPCLAS_TRAIN_P_005887	B_ambiguous	0.3848528399774344	5.342501167040946	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000028	1	HPCLAS_TRAIN_P_000028	HPCLAS_TRAIN_N_003309	1	HPCLAS_TRAIN_N_003309	D_hard_sample	0.26217577226506705	3.32742831729382	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000028	1	HPCLAS_TRAIN_P_000028	HPCLAS_TRAIN_N_000579	0	HPCLAS_TRAIN_N_000579	B_ambiguous	0.5542979695759996	3.5511157159183306	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000028	1	HPCLAS_TRAIN_P_000028	HPCLAS_TRAIN_N_004956	0	HPCLAS_TRAIN_N_004956	D_hard_sample	0.5266263990942275	3.6607099263736287	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000029	0	HPCLAS_TRAIN_P_000029	HPCLAS_TRAIN_N_002870	2	HPCLAS_TRAIN_N_002870	D_hard_sample	0.38190018432528433	2.889056503991219	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000029	0	HPCLAS_TRAIN_P_000029	HPCLAS_TRAIN_N_002122	1	HPCLAS_TRAIN_N_002122	D_hard_sample	0.43363242029368343	3.571216357904456	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000029	0	HPCLAS_TRAIN_P_000029	HPCLAS_TRAIN_N_001500	4	HPCLAS_TRAIN_N_001500	D_hard_sample	0.6204708014786626	3.8918608205877687	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000030	3	HPCLAS_TRAIN_P_000030	HPCLAS_TRAIN_N_000660	2	HPCLAS_TRAIN_P_004322	B_ambiguous	0.13227607301793887	5.518157046585175	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000030	3	HPCLAS_TRAIN_P_000030	HPCLAS_TRAIN_N_004842	3	HPCLAS_TRAIN_N_004842	D_hard_sample	0.6821116701773967	5.842101606789769	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000030	3	HPCLAS_TRAIN_P_000030	HPCLAS_TRAIN_N_000658	3	HPCLAS_TRAIN_N_000658	B_ambiguous	0.06508514631605145	5.851706748519709	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000031	0	HPCLAS_TRAIN_P_000031	HPCLAS_TRAIN_N_001036	3	HPCLAS_TRAIN_N_001036	D_hard_sample	0.3055779966441248	3.9722114327933125	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000031	0	HPCLAS_TRAIN_P_000031	HPCLAS_TRAIN_N_004957	1	HPCLAS_TRAIN_N_004957	D_hard_sample	0.6839569474495001	4.040987193707828	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000031	0	HPCLAS_TRAIN_P_000031	HPCLAS_TRAIN_N_004292	1	HPCLAS_TRAIN_N_004292	D_hard_sample	0.5134329750179398	4.043764170753223	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000032	2	HPCLAS_TRAIN_P_000032	HPCLAS_TRAIN_N_001820	3	HPCLAS_TRAIN_N_001820	B_ambiguous	0.07300788230754533	4.311350079098098	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000032	2	HPCLAS_TRAIN_P_000032	HPCLAS_TRAIN_N_002637	4	HPCLAS_TRAIN_N_002637	D_hard_sample	0.6289843308214943	7.9780844289161506	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000032	2	HPCLAS_TRAIN_P_000032	HPCLAS_TRAIN_N_000748	1	HPCLAS_TRAIN_N_000748	D_hard_sample	0.6398655970408772	8.265926253909884	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000033	2	HPCLAS_TRAIN_P_000033	HPCLAS_TRAIN_N_000878	0	HPCLAS_TRAIN_N_000878	D_hard_sample	0.4546574962219679	4.229553200719455	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000033	2	HPCLAS_TRAIN_P_000033	HPCLAS_TRAIN_N_000748	1	HPCLAS_TRAIN_N_000748	D_hard_sample	0.6398655970408772	4.449424450858181	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000033	2	HPCLAS_TRAIN_P_000033	HPCLAS_TRAIN_N_001097	2	HPCLAS_TRAIN_N_001097	B_ambiguous	0.4183962172920778	4.803977823184695	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000034	1	HPCLAS_TRAIN_P_000034	HPCLAS_TRAIN_N_000879	1	HPCLAS_TRAIN_N_000879	D_hard_sample	0.5808856519719824	3.1943774331070607	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000034	1	HPCLAS_TRAIN_P_000034	HPCLAS_TRAIN_N_003401	4	HPCLAS_TRAIN_N_003401	D_hard_sample	0.24430688780643162	3.3225051303591058	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000034	1	HPCLAS_TRAIN_P_000034	HPCLAS_TRAIN_N_002608	1	HPCLAS_TRAIN_N_002608	D_hard_sample	0.20198249406488425	3.3860920152477734	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000035	1	HPCLAS_TRAIN_P_000035	HPCLAS_TRAIN_N_000585	0	HPCLAS_TRAIN_N_000585	B_ambiguous	0.11007654957506703	2.508800168733387	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000035	1	HPCLAS_TRAIN_P_000035	HPCLAS_TRAIN_N_003768	1	HPCLAS_TRAIN_N_003768	D_hard_sample	0.7797356361287067	2.855989726028454	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000035	1	HPCLAS_TRAIN_P_000035	HPCLAS_TRAIN_N_000995	0	HPCLAS_TRAIN_N_000995	B_ambiguous	0.23036160781957446	2.867493387479917	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000036	0	HPCLAS_TRAIN_P_000036	HPCLAS_TRAIN_N_000878	0	HPCLAS_TRAIN_N_000878	D_hard_sample	0.4546574962219679	4.2987612826518244	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000036	0	HPCLAS_TRAIN_P_000036	HPCLAS_TRAIN_N_005042	0	HPCLAS_TRAIN_N_005042	D_hard_sample	0.5410387882743999	4.707417832017276	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000036	0	HPCLAS_TRAIN_P_000036	HPCLAS_TRAIN_N_001206	4	HPCLAS_TRAIN_P_006483	B_ambiguous	0.3027968408994328	4.802336091816617	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000037	0	HPCLAS_TRAIN_P_000037	HPCLAS_TRAIN_N_000755	4	HPCLAS_TRAIN_N_000755	D_hard_sample	0.5995794978074634	3.5914687167213857	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000037	0	HPCLAS_TRAIN_P_000037	HPCLAS_TRAIN_N_001471	2	HPCLAS_TRAIN_N_001471	B_ambiguous	0.06712447368992054	3.8623949046996944	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000037	0	HPCLAS_TRAIN_P_000037	HPCLAS_TRAIN_N_001036	3	HPCLAS_TRAIN_N_001036	D_hard_sample	0.3055779966441248	3.876816798416879	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000038	4	HPCLAS_TRAIN_P_000038	HPCLAS_TRAIN_N_004095	4	HPCLAS_TRAIN_N_004095	D_hard_sample	0.4786778632288345	3.319621666522731	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000038	4	HPCLAS_TRAIN_P_000038	HPCLAS_TRAIN_N_002436	4	HPCLAS_TRAIN_N_002436	D_hard_sample	0.2620590056293555	3.5259725776436657	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000038	4	HPCLAS_TRAIN_P_000038	HPCLAS_TRAIN_N_001451	3	HPCLAS_TRAIN_N_001451	D_hard_sample	0.7489596500113372	3.927762762882819	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000039	2	HPCLAS_TRAIN_P_000039	HPCLAS_TRAIN_N_000329	3	HPCLAS_TRAIN_N_000329	D_hard_sample	0.24178553730168187	4.162503707136995	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000039	2	HPCLAS_TRAIN_P_000039	HPCLAS_TRAIN_N_000095	2	HPCLAS_TRAIN_N_000095	D_hard_sample	0.6009863011480617	4.304987513928773	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000039	2	HPCLAS_TRAIN_P_000039	HPCLAS_TRAIN_N_002092	4	HPCLAS_TRAIN_N_002092	D_hard_sample	0.7315238896418964	4.368002949013642	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000040	0	HPCLAS_TRAIN_P_000040	HPCLAS_TRAIN_N_001563	1	HPCLAS_TRAIN_N_001563	D_hard_sample	0.26540177489533867	2.6078680254347466	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000040	0	HPCLAS_TRAIN_P_000040	HPCLAS_TRAIN_N_000848	0	HPCLAS_TRAIN_N_000848	D_hard_sample	0.6140684709902451	2.685224377370015	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000040	0	HPCLAS_TRAIN_P_000040	HPCLAS_TRAIN_N_001371	1	HPCLAS_TRAIN_N_001371	D_hard_sample	0.3282851256399927	3.069886494415464	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000041	2	HPCLAS_TRAIN_P_000041	HPCLAS_TRAIN_N_001371	1	HPCLAS_TRAIN_N_001371	D_hard_sample	0.3282851256399927	3.653319391155991	CANDIDATE_NOT_YET_USED
HPCLAS_TRAIN_P_000041	2	HPCLAS_TRAIN_P_000041	HPCLAS_TRAIN_N_004699	4	HPCLAS_TRAIN_N_004699	D_hard_sample	0.5738211210634228	3.7564235480965458	CANDIDATE_NOT_YET_USED
