clean_id	sequence_hash	oof_fold	embedding_row	sequence_sha256
HPCLAS_TRAIN_N_000021	41cbb3181bf8466b57ab81db23e985092c3c3771f34c14f449c0732a2849c694	1	7417	41cbb3181bf8466b57ab81db23e985092c3c3771f34c14f449c0732a2849c694
HPCLAS_TRAIN_N_000022	0b8d93d8f9f3fa03fdfa578a4f20cb50a10ffa22f0950082700a94a337c74e4b	1	7418	0b8d93d8f9f3fa03fdfa578a4f20cb50a10ffa22f0950082700a94a337c74e4b
HPCLAS_TRAIN_N_000023	e0c73ec1a6550b765ef59b9a9aaece299a40bfbf8e9b182e8058037a9d4c8218	2	7419	e0c73ec1a6550b765ef59b9a9aaece299a40bfbf8e9b182e8058037a9d4c8218
HPCLAS_TRAIN_N_000024	2c48183f8b2c3dc8827600b78e3dfceed8e397ffafa89227f01a50968b998707	2	7420	2c48183f8b2c3dc8827600b78e3dfceed8e397ffafa89227f01a50968b998707
HPCLAS_TRAIN_N_000025	3186be0eaf890b47aaeb70eaff2897e0dff1bd4a9954907700399dc15c019ea7	2	7421	3186be0eaf890b47aaeb70eaff2897e0dff1bd4a9954907700399dc15c019ea7
HPCLAS_TRAIN_N_000026	e160ac1a501da54b25389dc22328c3a610fd87a9880af96d0c80f99ef371ce3f	0	7422	e160ac1a501da54b25389dc22328c3a610fd87a9880af96d0c80f99ef371ce3f
HPCLAS_TRAIN_N_000027	7750129d75d6f915a1323a058399e9f7787e29674b6bf9839f6f0c7cefe8774e	2	7423	7750129d75d6f915a1323a058399e9f7787e29674b6bf9839f6f0c7cefe8774e
HPCLAS_TRAIN_N_000028	a9c3c6aa65dbea94dd76340fcf175fa2d8c8d937b5565febe53bfdec5c3d5a47	0	7424	a9c3c6aa65dbea94dd76340fcf175fa2d8c8d937b5565febe53bfdec5c3d5a47
HPCLAS_TRAIN_N_000030	822b30ba5d8a55c9cffd8c61aaac0dc1b7aa98f59f13fee9c14a5797eb818590	4	7426	822b30ba5d8a55c9cffd8c61aaac0dc1b7aa98f59f13fee9c14a5797eb818590
HPCLAS_TRAIN_N_000031	1e35316063f1894c93ed0a2556c65a0d80efb08f0040c9b26743a4363995999d	0	7427	1e35316063f1894c93ed0a2556c65a0d80efb08f0040c9b26743a4363995999d
HPCLAS_TRAIN_N_000032	823fe8ab84665fdfe6af2eed738042352c541bd4122877a7b83d07165471f5e3	1	7428	823fe8ab84665fdfe6af2eed738042352c541bd4122877a7b83d07165471f5e3
HPCLAS_TRAIN_N_000033	a3aba2495645945d3054168f095d6bafbdefbfefeff27af742888d0a712377c0	2	7429	a3aba2495645945d3054168f095d6bafbdefbfefeff27af742888d0a712377c0
HPCLAS_TRAIN_N_000034	b3a1bb09f629d289a10fe3e7570998fe6438c23a6bb17f44eb4546192a74a421	1	7430	b3a1bb09f629d289a10fe3e7570998fe6438c23a6bb17f44eb4546192a74a421
HPCLAS_TRAIN_N_000035	c6bb88076480e1b1d53f5311a017bf8b48fe7e4b45dd4fbe83125f60112d1151	3	7431	c6bb88076480e1b1d53f5311a017bf8b48fe7e4b45dd4fbe83125f60112d1151
HPCLAS_TRAIN_N_000036	dc81efd8cf9509766923574407ee9b22fce7677449a3fa3883e42d0337cd90dd	1	7432	dc81efd8cf9509766923574407ee9b22fce7677449a3fa3883e42d0337cd90dd
HPCLAS_TRAIN_N_000037	89cee37734efc40dcc94849aceed510c87811718ac4e18df6a505b95ebfc2f38	1	7433	89cee37734efc40dcc94849aceed510c87811718ac4e18df6a505b95ebfc2f38
HPCLAS_TRAIN_N_000038	a1f0b9395265dfc8174598b94582e9c50b6c203251fe35ae3676edd97a4e445c	3	7434	a1f0b9395265dfc8174598b94582e9c50b6c203251fe35ae3676edd97a4e445c
HPCLAS_TRAIN_N_000039	c4beee1e3efde2d532ba432d3c876ae2081a551dde5ed3ef402c00b9d17a4d92	4	7435	c4beee1e3efde2d532ba432d3c876ae2081a551dde5ed3ef402c00b9d17a4d92
HPCLAS_TRAIN_N_000040	3fabf578128c5e02c33b4b87c0a3aa2652495e6cd79465052c7ef348b330718a	2	7436	3fabf578128c5e02c33b4b87c0a3aa2652495e6cd79465052c7ef348b330718a
HPCLAS_TRAIN_N_000041	c1b893d13937720c5dc2a0c6d85e071f5cf734c426cd0d6466544f68ae7005eb	4	7437	c1b893d13937720c5dc2a0c6d85e071f5cf734c426cd0d6466544f68ae7005eb
HPCLAS_TRAIN_N_000042	6af8f550f4cc51354280d1fb1a0ba5d8370d640587c6e412817ab1760f916c7e	0	7438	6af8f550f4cc51354280d1fb1a0ba5d8370d640587c6e412817ab1760f916c7e
HPCLAS_TRAIN_N_000043	3d35dca24c547463699a10f12560088ea7586fe3cbfa94479e7d01ea7c9a404e	4	7439	3d35dca24c547463699a10f12560088ea7586fe3cbfa94479e7d01ea7c9a404e
HPCLAS_TRAIN_N_000044	6829ac48fdf9ff42eee340ed4d41037fc11a11b5144fc3f47abf62cd8f9990fa	4	7440	6829ac48fdf9ff42eee340ed4d41037fc11a11b5144fc3f47abf62cd8f9990fa
HPCLAS_TRAIN_N_000045	e63d4fcbc84f9447501407bb121ed6c7c293cec04fee9dae41aa0f86d6a3ab6a	3	7441	e63d4fcbc84f9447501407bb121ed6c7c293cec04fee9dae41aa0f86d6a3ab6a
HPCLAS_TRAIN_N_000046	0dae7d926acf0ac62a6f85b3d16136d710d8a8d663692c8b95c8fe167f0df949	4	7442	0dae7d926acf0ac62a6f85b3d16136d710d8a8d663692c8b95c8fe167f0df949
HPCLAS_TRAIN_N_000047	c8d5ba77e4cce28d719054bf049b27f6663ff31a2c0c2c8825a91b9004503dde	3	7443	c8d5ba77e4cce28d719054bf049b27f6663ff31a2c0c2c8825a91b9004503dde
HPCLAS_TRAIN_N_000048	6143e1056e344a86d8c5dbfa0e7ef9c1133d6d1dab13e57a920fbe4500d350ef	3	7444	6143e1056e344a86d8c5dbfa0e7ef9c1133d6d1dab13e57a920fbe4500d350ef
HPCLAS_TRAIN_N_000049	3a27f6b4f7f0d356efe9ebbacd571ae4a1113123572c9171b40ab9966b256a36	0	7445	3a27f6b4f7f0d356efe9ebbacd571ae4a1113123572c9171b40ab9966b256a36
HPCLAS_TRAIN_N_000051	26b16700f2cddef777744791a44265ee3b3e364e90efd3b48d7f953384c8e608	4	7447	26b16700f2cddef777744791a44265ee3b3e364e90efd3b48d7f953384c8e608
HPCLAS_TRAIN_N_000053	e81504375527242e546ffc826b13882222a768f59e3f1136a4e557f2465187c7	2	7448	e81504375527242e546ffc826b13882222a768f59e3f1136a4e557f2465187c7
HPCLAS_TRAIN_N_000054	621662c60ed32eea953eab1860703f991fdd718a31a6557f050117e3be79aa5c	0	7449	621662c60ed32eea953eab1860703f991fdd718a31a6557f050117e3be79aa5c
HPCLAS_TRAIN_N_000055	cfc6f75cc3525a1a78350aba88f5a02af5024472c40cedad60109dcebd43e3d0	1	7450	cfc6f75cc3525a1a78350aba88f5a02af5024472c40cedad60109dcebd43e3d0
HPCLAS_TRAIN_N_000056	8f419b5bdd0a1a5dabe130fdde6e00cfeed86b3660a4ccce7ea2d55b17af76ff	1	7451	8f419b5bdd0a1a5dabe130fdde6e00cfeed86b3660a4ccce7ea2d55b17af76ff
HPCLAS_TRAIN_N_000058	813e1901663cdaedfa2f07d0fb312225435b105f05c53782398187641957e64b	4	7453	813e1901663cdaedfa2f07d0fb312225435b105f05c53782398187641957e64b
HPCLAS_TRAIN_N_000059	b8bd4dad85d035d0186ada79b3118050bcdf098614971f3c9098131b141e4652	2	7454	b8bd4dad85d035d0186ada79b3118050bcdf098614971f3c9098131b141e4652
HPCLAS_TRAIN_N_000060	ed277b38a0567b28576929c9c65d302d98ecd6b2298ce63ff7b3783ddef59128	4	7455	ed277b38a0567b28576929c9c65d302d98ecd6b2298ce63ff7b3783ddef59128
HPCLAS_TRAIN_N_000061	c228bab8f91f14395caf505b1bb3d8d6b6c5d3a6e641d848455a343ff0d1be2f	0	7456	c228bab8f91f14395caf505b1bb3d8d6b6c5d3a6e641d848455a343ff0d1be2f
HPCLAS_TRAIN_N_000062	7c8a156a9034c5f98033d2f6dc37a935453adcc85a5f1b9bdb197c14c73e408e	4	7457	7c8a156a9034c5f98033d2f6dc37a935453adcc85a5f1b9bdb197c14c73e408e
HPCLAS_TRAIN_N_000063	b474fefe2f564fb4f250a2bfe6f5866d86d8eb5b3b5f0967f59a158844d6fd29	4	7458	b474fefe2f564fb4f250a2bfe6f5866d86d8eb5b3b5f0967f59a158844d6fd29
HPCLAS_TRAIN_N_000065	ccd2d260d4821fe83638c6e09f7c2cc6a3431fd9540d1f406c4922347af13d45	2	7460	ccd2d260d4821fe83638c6e09f7c2cc6a3431fd9540d1f406c4922347af13d45
HPCLAS_TRAIN_N_000066	3183d51c52bd2abe3860b852c3f253ab81fb279a97ef1a2fc715091ddc68a4ff	3	7461	3183d51c52bd2abe3860b852c3f253ab81fb279a97ef1a2fc715091ddc68a4ff
HPCLAS_TRAIN_N_000067	aa3ee3ac3119f842f2fca44140432fc9e0c4ef1458e2299cc351334990ef7f52	1	7462	aa3ee3ac3119f842f2fca44140432fc9e0c4ef1458e2299cc351334990ef7f52
HPCLAS_TRAIN_N_000069	6aa0d89c3ebd9f6d2b8e13c2c55c939de2f161831e92d2a94611be2fc01752de	0	7464	6aa0d89c3ebd9f6d2b8e13c2c55c939de2f161831e92d2a94611be2fc01752de
HPCLAS_TRAIN_N_000070	49e7bec7f4c687f223d9cd9991ddf0e6be16f2e608ebfbcde3afa0424dae5e27	3	7465	49e7bec7f4c687f223d9cd9991ddf0e6be16f2e608ebfbcde3afa0424dae5e27
HPCLAS_TRAIN_N_000071	633a41ff5258cbe1ac2ef553d40de34224148855c37b5be9c700fcc283413159	2	7466	633a41ff5258cbe1ac2ef553d40de34224148855c37b5be9c700fcc283413159
HPCLAS_TRAIN_N_000072	bb97cd1e5a4cc95f70bd70d4d161c689babc2cbf804cd18cc6da58345e23e63f	1	7467	bb97cd1e5a4cc95f70bd70d4d161c689babc2cbf804cd18cc6da58345e23e63f
HPCLAS_TRAIN_N_000073	fc915600590583680eea03da92c6e6708a735beef0490ae77944c88c688a3c04	3	7468	fc915600590583680eea03da92c6e6708a735beef0490ae77944c88c688a3c04
HPCLAS_TRAIN_N_000075	87cd3042f8a1e752c0093e1976cbfdab55a3460dd45debedd3abc762b1e8f3cd	3	7470	87cd3042f8a1e752c0093e1976cbfdab55a3460dd45debedd3abc762b1e8f3cd
HPCLAS_TRAIN_N_000076	588dd38e5a1ff3c38e21c8e0ebfee8d5dc367697ac3564421a2eab7874305e2c	2	7471	588dd38e5a1ff3c38e21c8e0ebfee8d5dc367697ac3564421a2eab7874305e2c
HPCLAS_TRAIN_N_000078	358bd6e2d0c3f349e62c956d21c760476292cee9c3fe1ac460eee204c968da19	2	7473	358bd6e2d0c3f349e62c956d21c760476292cee9c3fe1ac460eee204c968da19
HPCLAS_TRAIN_N_000079	cd413185492efd828e89e549ab172205dd5d2433ae00f43592eeeef687b63062	0	7474	cd413185492efd828e89e549ab172205dd5d2433ae00f43592eeeef687b63062
HPCLAS_TRAIN_N_000080	c03906e75b98c29df4fc88bd8145e6d4619c12b3a59437ad5b863d40681bfa40	3	7475	c03906e75b98c29df4fc88bd8145e6d4619c12b3a59437ad5b863d40681bfa40
HPCLAS_TRAIN_N_000082	f35971ed6fb28a117b8375669dd1304e78834b5cc5b4033326ee88336eeff256	1	7477	f35971ed6fb28a117b8375669dd1304e78834b5cc5b4033326ee88336eeff256
HPCLAS_TRAIN_N_000083	39ff39294f1108dcc3f1bfd4562ee36fdef79a2d5a84a9f0679088e40652240b	4	7478	39ff39294f1108dcc3f1bfd4562ee36fdef79a2d5a84a9f0679088e40652240b
HPCLAS_TRAIN_N_000084	0573556dd3e3bf13eceb639c3c232d37cfde01d49fe70a5b8edb3f85c7f1e861	3	7479	0573556dd3e3bf13eceb639c3c232d37cfde01d49fe70a5b8edb3f85c7f1e861
HPCLAS_TRAIN_N_000085	c9e7bfb771e24d88710d502f25fd1f2ef8ab0088cb157e3581c5a814112b497a	3	7480	c9e7bfb771e24d88710d502f25fd1f2ef8ab0088cb157e3581c5a814112b497a
HPCLAS_TRAIN_N_000086	995e49b82c5bfb616c669fd29f49bbcfa265c5f075e87c2b82449f234fe425c5	0	7481	995e49b82c5bfb616c669fd29f49bbcfa265c5f075e87c2b82449f234fe425c5
HPCLAS_TRAIN_N_000088	eb403b1afd366a43721ee71d1becc0839a10fc9e2deb6c86dbfdce0f88ef1e74	0	7483	eb403b1afd366a43721ee71d1becc0839a10fc9e2deb6c86dbfdce0f88ef1e74
HPCLAS_TRAIN_N_000090	b884cb7ebf5eb9db55a99d58a8f7f64ce78b04019d4e9aa01d2680de68b2b93b	3	7485	b884cb7ebf5eb9db55a99d58a8f7f64ce78b04019d4e9aa01d2680de68b2b93b
HPCLAS_TRAIN_N_000093	fd5fbccf6e0f0438209cba369107e672e684266a835685f83cffb3c8fc825d5b	2	7488	fd5fbccf6e0f0438209cba369107e672e684266a835685f83cffb3c8fc825d5b
HPCLAS_TRAIN_N_000094	f277befb839ce2e41cbae95b04a45b472381c4f5550e198e64e8f156461b9914	4	7489	f277befb839ce2e41cbae95b04a45b472381c4f5550e198e64e8f156461b9914
HPCLAS_TRAIN_N_000095	1f1bb14433ef823ca5855489f69921550caedf38a4f5f7b2bddab4e57342169d	2	7490	1f1bb14433ef823ca5855489f69921550caedf38a4f5f7b2bddab4e57342169d
HPCLAS_TRAIN_N_000096	3a17243e2d513f8fbdc1ba096d7f4d1036cb9855e5eba96de9dcaeb2d0c49a52	1	7491	3a17243e2d513f8fbdc1ba096d7f4d1036cb9855e5eba96de9dcaeb2d0c49a52
HPCLAS_TRAIN_N_000097	0b7489de833f38877ddaf124c7893dc3efe4929e9719e59fc20dd3c8d4785ded	4	7492	0b7489de833f38877ddaf124c7893dc3efe4929e9719e59fc20dd3c8d4785ded
HPCLAS_TRAIN_N_000098	49cc5ed32a89e053e175885ba8abe4e0268c9b9741e1011a59a76ad000d67fc3	1	7493	49cc5ed32a89e053e175885ba8abe4e0268c9b9741e1011a59a76ad000d67fc3
HPCLAS_TRAIN_N_000099	c36657d2f455a16bf78ede26721ffbf80606fe70e11c56cfbfb05dc7251cad64	3	7494	c36657d2f455a16bf78ede26721ffbf80606fe70e11c56cfbfb05dc7251cad64
HPCLAS_TRAIN_N_000101	8d0293349ea698e4a2f1f5ec0835b3e3d2a8ee72bd7f9597cc703ef1a2d4f874	0	7496	8d0293349ea698e4a2f1f5ec0835b3e3d2a8ee72bd7f9597cc703ef1a2d4f874
HPCLAS_TRAIN_N_000102	1b64f52018d2c1cd097be87c156b66b850f639a94bfecf134ae8b83b61bab516	0	7497	1b64f52018d2c1cd097be87c156b66b850f639a94bfecf134ae8b83b61bab516
HPCLAS_TRAIN_N_000103	a6a405ceee8f64304de0375aa50e700e396893eef263e8c7e9e97eb8f27f8882	1	7498	a6a405ceee8f64304de0375aa50e700e396893eef263e8c7e9e97eb8f27f8882
HPCLAS_TRAIN_N_000105	5dd2604e8f412fba71286370fb1ae6da4420108dac1aa8cdf3756699cee8f20c	4	7500	5dd2604e8f412fba71286370fb1ae6da4420108dac1aa8cdf3756699cee8f20c
HPCLAS_TRAIN_N_000107	4242b288f886619b565eda455a129a839fc97be0630973b3617b9a2581815354	0	7502	4242b288f886619b565eda455a129a839fc97be0630973b3617b9a2581815354
HPCLAS_TRAIN_N_000109	3a0ad40872ff13bfe274d685ead79c3dacf974d4aa32cb223e2a4e7bebfe9c41	4	7504	3a0ad40872ff13bfe274d685ead79c3dacf974d4aa32cb223e2a4e7bebfe9c41
HPCLAS_TRAIN_N_000110	73abaae14578d9163b2a933b9383ec5be89f00a38ecbc3dba222bcf04e86608c	3	7505	73abaae14578d9163b2a933b9383ec5be89f00a38ecbc3dba222bcf04e86608c
HPCLAS_TRAIN_N_000111	0a1dbdda9e64f127a1dd2fe2e62adebc8221a050ff06f60b48ad8c6dc235bafd	2	7506	0a1dbdda9e64f127a1dd2fe2e62adebc8221a050ff06f60b48ad8c6dc235bafd
HPCLAS_TRAIN_N_000112	1469caf89d6930304b6b82f9b7dcf179b28cdb0bb12713e5a6f5e337ff0221d8	3	7507	1469caf89d6930304b6b82f9b7dcf179b28cdb0bb12713e5a6f5e337ff0221d8
HPCLAS_TRAIN_N_000113	6b398a0ec6e93529efa7919864ad20c1776c350aaded9f690da670dd7873d79d	3	7508	6b398a0ec6e93529efa7919864ad20c1776c350aaded9f690da670dd7873d79d
HPCLAS_TRAIN_N_000114	ff8d5b8bac63778330a986af0e2affdce07ab2bf12e92ffc3b3bdc0a9e752381	0	7509	ff8d5b8bac63778330a986af0e2affdce07ab2bf12e92ffc3b3bdc0a9e752381
HPCLAS_TRAIN_N_000115	c75ae8aca629d23ea2f135b04953d971f89da6f901b9b83ae59effa21512d2ba	2	7510	c75ae8aca629d23ea2f135b04953d971f89da6f901b9b83ae59effa21512d2ba
HPCLAS_TRAIN_N_000116	103a4e908679ac40ea4076184af952e7467b435266d1cccaecf5b4c6f759057c	1	7511	103a4e908679ac40ea4076184af952e7467b435266d1cccaecf5b4c6f759057c
HPCLAS_TRAIN_N_000117	ff42d3f8ed40e528545f11ab14657efc831b9fc80d7e4d1fb631f91072895ae8	1	7512	ff42d3f8ed40e528545f11ab14657efc831b9fc80d7e4d1fb631f91072895ae8
HPCLAS_TRAIN_N_000118	e7519353c7a0c8178cc3ca291475640b4711ad843f7f78a047f72f8b51055a7d	2	7513	e7519353c7a0c8178cc3ca291475640b4711ad843f7f78a047f72f8b51055a7d
HPCLAS_TRAIN_N_000119	5e31b931b6dba42ed38a8f2d32cd3cceb5df7d716d30af37bf41b0717d215e46	2	7514	5e31b931b6dba42ed38a8f2d32cd3cceb5df7d716d30af37bf41b0717d215e46
HPCLAS_TRAIN_N_000123	44e14362ecac15ee6f40a0f205b7df995a624e913d0857ff1f922d78df5410f4	1	7518	44e14362ecac15ee6f40a0f205b7df995a624e913d0857ff1f922d78df5410f4
HPCLAS_TRAIN_N_000124	9b8ac4a99cfdf898f0fac9daa7216ddfdd1c2c8deb301259ccca6dcc4b0527dd	0	7519	9b8ac4a99cfdf898f0fac9daa7216ddfdd1c2c8deb301259ccca6dcc4b0527dd
HPCLAS_TRAIN_N_000125	acb3d5127e54100150a6b04189b205c4b8c3b070f8d55b00396f0e3e4ae4432a	0	7520	acb3d5127e54100150a6b04189b205c4b8c3b070f8d55b00396f0e3e4ae4432a
HPCLAS_TRAIN_N_000126	a9c61b3fd5126dacaa64c0ce86f04cbd79682e6b6cc23cb787d6a150db6a51ea	4	7521	a9c61b3fd5126dacaa64c0ce86f04cbd79682e6b6cc23cb787d6a150db6a51ea
HPCLAS_TRAIN_N_000128	a0b3a5b7947b190c37d57a3b49bd417b5c035e5da476925d45d1120735c07c7f	0	7523	a0b3a5b7947b190c37d57a3b49bd417b5c035e5da476925d45d1120735c07c7f
HPCLAS_TRAIN_N_000129	33b0915e8f12c002cc7d9cd223a40e0222ce696c4da5d04aed4afe3cf268ad5d	2	7524	33b0915e8f12c002cc7d9cd223a40e0222ce696c4da5d04aed4afe3cf268ad5d
HPCLAS_TRAIN_N_000130	8848335536ad44e853625748b134f69484cdf4a7749426e06b6cf237bae93b6f	4	7525	8848335536ad44e853625748b134f69484cdf4a7749426e06b6cf237bae93b6f
HPCLAS_TRAIN_N_000131	8eb21b3e68cf6a065bda03a9dcdce50d09b7b89a4317368ce794cecb8d9719e6	2	7526	8eb21b3e68cf6a065bda03a9dcdce50d09b7b89a4317368ce794cecb8d9719e6
HPCLAS_TRAIN_N_000132	eb5d4df12ce1ad61f7ff5eaabb664ddd8de53240b7bdd9ed503067b061beb467	2	7527	eb5d4df12ce1ad61f7ff5eaabb664ddd8de53240b7bdd9ed503067b061beb467
HPCLAS_TRAIN_N_000133	39c34e3fec95c4e300e34302de809132905cc133ebb6b967dc3cd4df3354d537	4	7528	39c34e3fec95c4e300e34302de809132905cc133ebb6b967dc3cd4df3354d537
HPCLAS_TRAIN_N_000134	9ac8fa94524a8662300706a744ea01be37bcfa68b01ababaf6e0f4ecde7e3652	1	7529	9ac8fa94524a8662300706a744ea01be37bcfa68b01ababaf6e0f4ecde7e3652
HPCLAS_TRAIN_N_000135	f0c5734ffb8998c73882366fff47b566becb32b310afd55c3590ef84317a2eea	4	7530	f0c5734ffb8998c73882366fff47b566becb32b310afd55c3590ef84317a2eea
HPCLAS_TRAIN_N_000136	49d7ebcb90f039ae2ea26c42b92c8b10356e053c178a843d84e755e97c5d726c	0	7531	49d7ebcb90f039ae2ea26c42b92c8b10356e053c178a843d84e755e97c5d726c
HPCLAS_TRAIN_N_000138	1d1402389fffaaee258115a00758b96c42e7e732c1a879ee97b90511bfe19e48	3	7533	1d1402389fffaaee258115a00758b96c42e7e732c1a879ee97b90511bfe19e48
HPCLAS_TRAIN_N_000139	eaebaab480bec8e790a67d09159b70ccdff2921cec119e078f36ff15eb18e827	0	7534	eaebaab480bec8e790a67d09159b70ccdff2921cec119e078f36ff15eb18e827
HPCLAS_TRAIN_N_000140	07121e5c9ad8679959ab018e38658ad6cce853de805b38717aa0b885f12c3093	0	7535	07121e5c9ad8679959ab018e38658ad6cce853de805b38717aa0b885f12c3093
HPCLAS_TRAIN_N_000141	aed7e7965f7d9b01037ab0e242ebcc694e36d4417654f991b25bed363c6af91b	3	7536	aed7e7965f7d9b01037ab0e242ebcc694e36d4417654f991b25bed363c6af91b
HPCLAS_TRAIN_N_000142	68875f059502dc963728c35dd858d9ee1474436bf23437b2ef59a0bd32dbac43	3	7537	68875f059502dc963728c35dd858d9ee1474436bf23437b2ef59a0bd32dbac43
HPCLAS_TRAIN_N_000143	b9132ff91a89f56a5974d34a4d233ebd54bb940ab06fb9ce42e03dbe936c1106	0	7538	b9132ff91a89f56a5974d34a4d233ebd54bb940ab06fb9ce42e03dbe936c1106
HPCLAS_TRAIN_N_000144	e48504adae1847bdebaf86e904f7fe9e0d7d3ab2042163e205ee74d698399e19	3	7539	e48504adae1847bdebaf86e904f7fe9e0d7d3ab2042163e205ee74d698399e19
HPCLAS_TRAIN_N_000145	67d7bc3ac16fede85b859bf2876dfa10405645fc34773f60ec741f22ec64c32f	1	7540	67d7bc3ac16fede85b859bf2876dfa10405645fc34773f60ec741f22ec64c32f
HPCLAS_TRAIN_N_000147	5b40681221ab0a3e163ac1bcaa6532a7545ccf80412a2b80b363c0b715394a47	0	7542	5b40681221ab0a3e163ac1bcaa6532a7545ccf80412a2b80b363c0b715394a47
HPCLAS_TRAIN_N_000148	7b3b79aac047acc63e79ff741340bc75937e0073acaf30cf809efda493147e15	4	7543	7b3b79aac047acc63e79ff741340bc75937e0073acaf30cf809efda493147e15
HPCLAS_TRAIN_N_000150	02f97918713e86c8a225098e4466508caf21a550020652700612933f453a29b2	0	7545	02f97918713e86c8a225098e4466508caf21a550020652700612933f453a29b2
HPCLAS_TRAIN_N_000151	9312ccf70a8f9620d763f040f59f6d832807220ade27e3d1b51636fce11eb21f	2	7546	9312ccf70a8f9620d763f040f59f6d832807220ade27e3d1b51636fce11eb21f
HPCLAS_TRAIN_N_000152	e14e6c96ec9fb816838110e7b0b8198da2adfb0c9247e1ebc5eb73bb14f614b9	3	7547	e14e6c96ec9fb816838110e7b0b8198da2adfb0c9247e1ebc5eb73bb14f614b9
HPCLAS_TRAIN_N_000153	b1ef0741e0bfa0c0bb3263d36fbe84de568834300ba9f2b78ffa6452fde4d03a	3	7548	b1ef0741e0bfa0c0bb3263d36fbe84de568834300ba9f2b78ffa6452fde4d03a
HPCLAS_TRAIN_N_000154	790661b2543e6b82dd0688c6726812954dc9a3f6354c48e027b27bfc8bc3ce22	2	7549	790661b2543e6b82dd0688c6726812954dc9a3f6354c48e027b27bfc8bc3ce22
