relative_path	bytes	token_hits
build_deepsaltpro_subset_features.py	3675	ankh|deepsaltpro|esm-2|esm2
scripts/deepsaltpro_fair_stage4a/prepare_deepsaltpro_fair_training.py	8794	ankh|deepsaltpro|esm-2|esm2
scripts/module6A_main_text_consistency_audit/build_Module6A2_main_text_fact_table_verified.py	30645	ankh|calibrat|deepsaltpro|esm-2
scripts/module6A_main_text_consistency_audit/build_Module6A2_main_text_fact_table_verified_FIXED.py	31360	ankh|calibrat|deepsaltpro|esm-2
ESMCHalo_M2_run_all.py	40817	calibrat|embedding_row|pca
ESMCHalo_M4P_public_challenge_run_all.py	45123	calibrat|deepsaltpro|embedding_row
ESMCHalo_M4P_public_challenge_run_all_before_autocast_fix.py	44525	calibrat|deepsaltpro|embedding_row
ESMCHalo_M4P_public_challenge_run_all_before_backend_fix.py	39896	calibrat|deepsaltpro|embedding_row
ESMCHalo_M4P_public_challenge_run_all_before_reference_fix.py	30814	calibrat|deepsaltpro|embedding_row
deepsaltpro_paper_reproduction/multiseed_code/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
deepsaltpro_paper_reproduction/seed2_official_features/Code/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
deepsaltpro_paper_reproduction/seed2_repeat/Code/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
external/DeepSaltPro/Code/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
scripts/benchmark_plm_efficiency.py	12878	ankh|esm-2|esm2
scripts/deepsaltpro_id_safe_stage3/audit_deepsaltpro_sequence_lengths.py	1518	ankh|deepsaltpro|esm-2
scripts/deepsaltpro_id_safe_stage3/extract_esm2_features_id_safe.py	6005	deepsaltpro|esm-2|esm2
scripts/module4_manuscript/build_Figure3_efficiency.py	11257	ankh|deepsaltpro|esm-2
scripts/module6A_main_text_consistency_audit/build_Module6A4_Figure3_results_locked.py	12418	ankh|deepsaltpro|esm-2
v2_00_lock_package/v2_00_lock.py	21882	calibrat|deepsaltpro|ensemble
work/deepsaltpro_fair_v1/code_original/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
work/deepsaltpro_official_repro/code/get_ESM-2b_basic.py	2964	deepsaltpro|esm-2|esm2
ESMCHalo_M0_run_all.py	26423	calibrat|embedding_row
ESMCHalo_M1R_run_all.py	41361	calibrat|embedding_row
ESMCHalo_M1_run_all.py	124649	calibrat|embedding_row
ESMCHalo_M5_interpretability_execution_v1/m5_pipeline.py	77700	calibrat|deepsaltpro
ESMCHalo_M5_interpretability_execution_v1/m5_pipeline_before_contract_fix_20260824_181129.py	75810	calibrat|deepsaltpro
annotate_deepsaltpro_test.py	9763	calibrat|deepsaltpro
deepsaltpro_paper_reproduction/multiseed_code/KANLayer.py	14139	deepsaltpro|kan
deepsaltpro_paper_reproduction/multiseed_code/get_Ankh_basic.py	3639	ankh|deepsaltpro
deepsaltpro_paper_reproduction/multiseed_code/kan_utils.py	21838	deepsaltpro|kan
deepsaltpro_paper_reproduction/multiseed_code/spline.py	4341	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_official_features/Code/KANLayer.py	14139	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_official_features/Code/get_Ankh_basic.py	3639	ankh|deepsaltpro
deepsaltpro_paper_reproduction/seed2_official_features/Code/kan_utils.py	21838	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_official_features/Code/spline.py	4341	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_repeat/Code/KANLayer.py	14139	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_repeat/Code/get_Ankh_basic.py	3639	ankh|deepsaltpro
deepsaltpro_paper_reproduction/seed2_repeat/Code/kan_utils.py	21838	deepsaltpro|kan
deepsaltpro_paper_reproduction/seed2_repeat/Code/spline.py	4341	deepsaltpro|kan
external/DeepSaltPro/Code/KANLayer.py	14139	deepsaltpro|kan
external/DeepSaltPro/Code/get_Ankh_basic.py	3639	ankh|deepsaltpro
external/DeepSaltPro/Code/kan_utils.py	21838	deepsaltpro|kan
external/DeepSaltPro/Code/spline.py	4341	deepsaltpro|kan
sci_revision_20260820/M5_interpretability_v1/m5_pipeline_contract_fixed_used.py	77700	calibrat|deepsaltpro
scripts/benchmark_esmc_gpu_downstream.py	7486	calibrat|embedding_row
scripts/deepsaltpro_id_safe_stage3/extract_ankh_features_id_safe.py	5897	ankh|deepsaltpro
scripts/deepsaltpro_id_safe_stage3/extract_ankh_features_id_safe_v2.py	8791	ankh|deepsaltpro
scripts/deepsaltpro_id_safe_stage3/id_safe_common.py	4426	deepsaltpro|embedding_row
scripts/esmc_deepsaltpro_comparison_stage5/compare_esmc_deepsaltpro.py	16102	calibrat|deepsaltpro
scripts/esmc_deepsaltpro_stage6_reporting/make_final_report.py	9753	calibrat|deepsaltpro
scripts/evaluate_fair_halophile_benchmark.py	14555	calibrat|deepsaltpro
scripts/module6A_main_text_consistency_audit/build_Module6A7_section31_figure1_blueprint_merge_results.py	22143	calibrat|deepsaltpro
scripts/module6A_main_text_consistency_audit/build_Module6A8_Figure1_render_pending_QC.py	14059	calibrat|deepsaltpro
work/deepsaltpro_fair_v1/code_original/KANLayer.py	14139	deepsaltpro|kan
work/deepsaltpro_fair_v1/code_original/get_Ankh_basic.py	3639	ankh|deepsaltpro
work/deepsaltpro_fair_v1/code_original/kan_utils.py	21838	deepsaltpro|kan
work/deepsaltpro_fair_v1/code_original/spline.py	4341	deepsaltpro|kan
work/deepsaltpro_official_repro/code/KANLayer.py	14139	deepsaltpro|kan
work/deepsaltpro_official_repro/code/get_Ankh_basic.py	3639	ankh|deepsaltpro
work/deepsaltpro_official_repro/code/kan_utils.py	21838	deepsaltpro|kan
work/deepsaltpro_official_repro/code/spline.py	4341	deepsaltpro|kan
ESMCHalo_BMC_Q1_reproducibility_release_v2/src/esmchalo_contract.py	8454	calibrat
ESMCHalo_BMC_Q1_reproducibility_release_v2/src/esmchalo_predict.py	21175	calibrat
ESMCHalo_BMC_Q1_reproducibility_release_v2/src/validate_smoke.py	2796	calibrat
ESMCHalo_BMC_Q1_reproducibility_release_v2/tests/test_static_contract.py	3917	calibrat
ESMCHalo_M4A_import_bridge.py	13671	calibrat
ESMCHalo_M5_interpretability_execution_v1/validate_m5.py	6627	calibrat
audit_deepsaltpro_vs_esmc_fastas.py	5957	deepsaltpro
deepsaltpro_paper_reproduction/multiseed_code/utils.py	22815	deepsaltpro
deepsaltpro_paper_reproduction/seed2_official_features/Code/utils.py	22815	deepsaltpro
deepsaltpro_paper_reproduction/seed2_repeat/Code/utils.py	22815	deepsaltpro
deploy/halophile_esmc_v3_canonical_full/scripts/extract_esmc600m_embeddings_reference.py	25812	embedding_row
deploy/halophile_esmc_v3_canonical_full/scripts/predict_halophile_fasta.py	11005	calibrat
external/DeepSaltPro/Code/utils.py	22815	deepsaltpro
paper/figures/Figure4/ESMCHalo_figure_style.py	1664	deepsaltpro
paper/figures/Figure4_v5/ESMCHalo_figure_style.py	1664	deepsaltpro
paper/figures/Figure4_v6/ESMCHalo_figure_style.py	1664	deepsaltpro
release/halophile_esmc_v2_full/scripts/extract_esmc600m_embeddings_reference.py	25812	embedding_row
release/halophile_esmc_v2_full/scripts/predict_halophile_fasta.py	18999	calibrat
release/halophile_esmc_v3_canonical_full/scripts/extract_esmc600m_embeddings_reference.py	25812	embedding_row
release/halophile_esmc_v3_canonical_full/scripts/predict_halophile_fasta.py	11005	calibrat
scripts/build_conflict_free_sensitivity.py	7426	embedding_row
scripts/build_halophile_model_release.py	14330	calibrat
scripts/calibrate_esmc_probabilities.py	21164	calibrat
scripts/esmc_halophile_publication_stage7/01_audit_current_project.py	5586	deepsaltpro
scripts/esmc_halophile_publication_stage7/07_error_and_subgroup_analysis.py	6386	deepsaltpro
scripts/extract_esmc600m_embeddings.py	25812	embedding_row
scripts/extract_esmc_selected_layers.py	13209	embedding_row
scripts/halophile_model_v2/build_halophile_release_v2.py	14271	calibrat
scripts/halophile_model_v2/fit_platt_calibrator_json.py	5560	calibrat
scripts/halophile_model_v2/predict_halophile_fasta_exact.py	18999	calibrat
scripts/halophile_model_v3/build_halophile_release_v3.py	12027	calibrat
scripts/halophile_model_v3/finalize_halophile_release_v3.py	10077	calibrat
scripts/halophile_model_v3/predict_halophile_fasta_canonical.py	11005	calibrat
scripts/halophile_model_v3/train_canonical_halophile_model.py	15864	calibrat
scripts/inspect_deepsaltpro_features.py	13549	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL.py	16412	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL_before_legend_fix.py	15785	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL_before_legend_row_fix.py	16288	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL_fused.py	7343	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL_fused_v2.py	7289	deepsaltpro
scripts/module4_manuscript/build_Figure2_FINAL_fused_v3.py	7480	deepsaltpro
scripts/module5_external_validation/02_prepare_Figure5_source_bundle.py	7042	calibrat
scripts/module5_external_validation/build_Figure5_external_validation_3PANEL_FINAL_LOCKED.py	19495	calibrat
scripts/module5_external_validation/build_Figure5_external_validation_FINAL.py	19960	calibrat
scripts/module5_external_validation/build_Figure5_external_validation_STANDARD.py	12038	calibrat
scripts/module5_external_validation/build_Figure5_external_validation_STANDARD_before_final_polish.py	12038	calibrat
scripts/module6A_main_text_consistency_audit/build_Module6A3_Figure2_results_locked.py	10813	deepsaltpro
scripts/module6A_main_text_consistency_audit/build_Module6A6_Figure5_results_locked.py	15480	calibrat
scripts/module6A_main_text_consistency_audit/build_Module6A8B_Figure1_publication_style_v2.py	7512	calibrat
scripts/prepare_fair_halophile_benchmark.py	10824	deepsaltpro
scripts/probe_esmc_layers.py	9432	embedding_row
scripts/run_esmc_multiseed_stability.py	15300	embedding_row
scripts/train_esmc_lr_baseline.py	14626	embedding_row
summarize_deepsaltpro_results.py	2305	deepsaltpro
work/deepsaltpro_fair_v1/code_original/utils.py	22815	deepsaltpro
work/deepsaltpro_official_repro/code/utils.py	22815	deepsaltpro
