review_id	clean_id	current_label	original_id	source_file	recomputed_sequence_sha256	automated_semantic_level	automated_evidence_level	automated_label_rule	reviewer_semantic_level	reviewer_evidence_level	traceable_yes_no	incompatible_rule_yes_no	direct_protein_phenotype_yes_no	reviewer_notes
R020	HPCLAS_TRAIN_P_005995	1	PWN05240.1	train_P.fasta	849e6f7729e27ee2f1aea4287c8c45cf3eae72870a286727c28cef9ae5803373	L1	E1	HPClas_train_P_inherited						
R021	HPCLAS_TRAIN_N_001801	0	VIP10138.1	train_N.fasta	87d4e5475bfc6875dec92ef187bb4de78be03504e28aa5adb02b7810d999ad46	L1	E1	HPClas_train_N_inherited						
R022	HPCLAS_TRAIN_N_001509	0	QYO71106.1	train_N.fasta	791b60e8bbee24bf6146d4088388952cbfa564dbeab06cb7383bf9c602149743	L1	E1	HPClas_train_N_inherited						
R023	HPCLAS_TRAIN_N_004061	0	AKG22150.1	train_N.fasta	33e46721b2aef1e412ab24e0d54f795cc58f5630fabd29bb87169c1fec0395af	L1	E1	HPClas_train_N_inherited						
R024	HPCLAS_TRAIN_P_001285	1	EMA69653.1	train_P.fasta	ce8c787aa8b9111065e88f536ee8046204d09d6301ef30e9b365ba67f5856c83	L1	E1	HPClas_train_P_inherited						
R025	HPCLAS_TRAIN_N_002906	0	WP_190559703.1	train_N.fasta	7434d79a5324ae5cac8d778c28ab0dc10b68ae322466a2691392649a3c91bc13	L1	E1	HPClas_train_N_inherited						
R026	HPCLAS_TRAIN_N_000025	0	WP_044174140.1	train_N.fasta	3186be0eaf890b47aaeb70eaff2897e0dff1bd4a9954907700399dc15c019ea7	L1	E1	HPClas_train_N_inherited						
R027	HPCLAS_TRAIN_N_002196	0	AEV37338.1	train_N.fasta	ffef7f839fa3f8b4d9a0f5610514b64cd29acbbf1aa18e16f2b5dd6b00c9995c	L1	E1	HPClas_train_N_inherited						
R028	HPCLAS_TRAIN_N_003375	0	WP_026994534.1	train_N.fasta	a32ce7a8f25ec1b032f6f05d7a0cba26a385f6ba5438ef892301b967ad480324	L1	E1	HPClas_train_N_inherited						
R029	HPCLAS_TRAIN_P_006979	1	OVE83497.1	train_P.fasta	dbf5482537f90d1ee3f7792a08c7b7126ddba190a70fc01031c79e92aea8dd5d	L1	E1	HPClas_train_P_inherited						
R030	HPCLAS_TRAIN_P_006207	1	ATW88067.1	train_P.fasta	e7ee1502be7be1d2798b16f1adbccc2841727f32cef2c629c028f1a71d52e930	L1	E1	HPClas_train_P_inherited						
R031	HPCLAS_TRAIN_P_000872	1	QCZ93721.1	train_P.fasta	e0c713eedb05debc093e1ca0bbb989dbb4e20fc5395c6012b330477e1e2fb38e	L1	E1	HPClas_train_P_inherited						
R032	HPCLAS_TRAIN_N_003687	0	OQY47168.1	train_N.fasta	1f74d3ee3c3001abc3cec90742e709d7490485af09b1655cfb22af0f056d7215	L1	E1	HPClas_train_N_inherited						
R033	HPCLAS_TRAIN_N_000015	0	EDN71340.1	train_N.fasta	155031f31bd3b2de1c9feebeb114f11ccaba9bb9672ba82f3cd30da48f582cce	L1	E1	HPClas_train_N_inherited						
R034	HPCLAS_TRAIN_P_005876	1	ENH96162.1	train_P.fasta	b66899cfc195cb2665eddda16d284edbba4e66d86e3f7d12a78e99e8d8681edf	L1	E1	HPClas_train_P_inherited						
R035	HPCLAS_TRAIN_N_000078	0	WP_271763904.1	train_N.fasta	358bd6e2d0c3f349e62c956d21c760476292cee9c3fe1ac460eee204c968da19	L1	E1	HPClas_train_N_inherited						
R036	HPCLAS_TRAIN_N_001065	0	QYO69816.1	train_N.fasta	6cf75949556e3e4a54a9990dde7cd03dbdba4720aeab51abd356b0d0d1b9793f	L1	E1	HPClas_train_N_inherited						
R037	HPCLAS_TRAIN_P_005745	1	QCZ92378.1	train_P.fasta	8493bfec105e188fdf41ae34d02b3959a0163486c1958bfac2d0f768d0bc5fa1	L1	E1	HPClas_train_P_inherited						
R038	HPCLAS_TRAIN_P_005704	1	USZ72942.1	train_P.fasta	7d1746b3348cd01b6877cdce1491f441885308c048b54b55b1e70df3fa14e737	L1	E1	HPClas_train_P_inherited						
R039	HPCLAS_TRAIN_N_000592	0	PAC31698.1	train_N.fasta	8e84d3b034e02ebc273a8f21b18a88150f6e0f05078e87f4e7f68e3aa5daf78d	L1	E1	HPClas_train_N_inherited						
R040	HPCLAS_TRAIN_N_000457	0	WP_044173358.1	train_N.fasta	931abf731c383730f86a2ad9d7bf5339cc8e5547aa29bbd4582508ad83319ff7	L1	E1	HPClas_train_N_inherited						
R041	HPCLAS_TRAIN_N_004883	0	EIJ43694.1	train_N.fasta	b52e0cd9b8f6d6a403958fe9339aad028e759faaccbf61d313ac7c6d99b778f6	L1	E1	HPClas_train_N_inherited						
R042	HPCLAS_TRAIN_N_004841	0	WP_283328711.1	train_N.fasta	55197f3cc0adfc3dd3a7f7a7c6845c8c025aae83c55c085780086042fc775448	L1	E1	HPClas_train_N_inherited						
R043	HPCLAS_TRAIN_P_006950	1	RRQ22647.1	train_P.fasta	30463353a4ab1f72ea92a63e474c26de022f2d6975db1780389fba4753b2ad41	L1	E1	HPClas_train_P_inherited						
R044	HPCLAS_TRAIN_P_006511	1	QCZ93567.1	train_P.fasta	6d70265838215fa43fe11a6fb15df148da35ad94baa968ebbc1d3df2cb967bf2	L1	E1	HPClas_train_P_inherited						
R045	HPCLAS_TRAIN_N_004426	0	WP_190480349.1	train_N.fasta	a2592ab2df631fa4c0045b8bba9999b413eaf4e97a9224658b0a00b3486f0e8d	L1	E1	HPClas_train_N_inherited						
R046	HPCLAS_TRAIN_N_001081	0	WP_044171850.1	train_N.fasta	d217a4e8ddaa3751c1f2fd8d2ffbed418d41d22868623bf1c5ac4e34844bad10	L1	E1	HPClas_train_N_inherited						
R047	HPCLAS_TRAIN_P_002573	1	EEF80082.1	train_P.fasta	2f050b0223c4ff300ec01d279e514eaf19bfe6df7e9b97c5e4536c310f875337	L1	E1	HPClas_train_P_inherited						
R048	HPCLAS_TRAIN_P_006025	1	ALC15149.1	train_P.fasta	721e372585e698db65aca3bbc3d72ef65e4d2b697fbd390428ac6f22206ab616	L1	E1	HPClas_train_P_inherited						
R049	HPCLAS_TRAIN_N_003533	0	AEV38458.1	train_N.fasta	058faca3fc917ae9fdab03b28d74595e05c069f9bcd3364b4a019fc7f49fa926	L1	E1	HPClas_train_N_inherited						
R050	HPCLAS_TRAIN_N_001693	0	EIJ42921.1	train_N.fasta	213024a60536c10a5386ad15bc9926acd6d8ff3acb15dc16473dc94c3eea58d9	L1	E1	HPClas_train_N_inherited						
R051	HPCLAS_TRAIN_P_005032	1	RAW09403.1	train_P.fasta	376ae07061b779449e121a8c0d1d5b0122d3e31b171735d5b6eccbcb2a67dee7	L1	E1	HPClas_train_P_inherited						
R052	HPCLAS_TRAIN_N_000316	0	QYO69415.1	train_N.fasta	0ff76312b63b42c78aa6a6331c809deb858f0ef4ac8514c965326c9e466d5c1e	L1	E1	HPClas_train_N_inherited						
R053	HPCLAS_TRAIN_N_004106	0	WP_081681228.1	train_N.fasta	354d43b48de32a740a499df000d9aafddf869c9d75b51b6f905500492efb9156	L1	E1	HPClas_train_N_inherited						
R054	HPCLAS_TRAIN_N_001741	0	OBQ22651.1	train_N.fasta	1abc9ce7bfd38b6ee49320a827e376b7088c7307cb7c27a22db60758d5b3860f	L1	E1	HPClas_train_N_inherited						
R055	HPCLAS_TRAIN_P_003352	1	EPX76769.1	train_P.fasta	8a872c1573eae05f596b7fd51fb8dd7301445908f23f2b2c6ea9259cbcba09b1	L1	E1	HPClas_train_P_inherited						
R056	HPCLAS_TRAIN_N_001527	0	QYO70979.1	train_N.fasta	bea623fd8cdcdb0fdce1a5335e2cb6e84ba1818757f07d1699ee5daae0aed067	L1	E1	HPClas_train_N_inherited						
R057	HPCLAS_TRAIN_P_002498	1	CCG47264.1	train_P.fasta	944b362485e78242e553ff19ebddf4efe04ec78774e9f8340ec8d6437ffca3f3	L1	E1	HPClas_train_P_inherited						
R058	HPCLAS_TRAIN_P_001884	1	ELZ24950.1	train_P.fasta	dd61b26dab1bdfbc242f64dc5183e01611f9875d9b6c7ecd39058a0368c0717d	L1	E1	HPClas_train_P_inherited						
R059	HPCLAS_TRAIN_P_002338	1	ELY32247.1	train_P.fasta	c720130fccb05d0f2ea65decacc69a23d5c24ce98aa89fd7eea23c8a81a2813a	L1	E1	HPClas_train_P_inherited						
R060	HPCLAS_TRAIN_P_007172	1	UPV75089.1	train_P.fasta	bfc29de1d1162b243f90b6e9b7187ac212fa928eb9c5464f7f9d27b937a6ea95	L1	E1	HPClas_train_P_inherited						
R061	HPCLAS_TRAIN_N_001143	0	VTS09791.1	train_N.fasta	a91988b27e5f9e0c3d83562a568caf8b59caf730aa5e7f2b6bf36ea3d8ad0d5c	L1	E1	HPClas_train_N_inherited						
R062	HPCLAS_TRAIN_N_002170	0	WP_026993991.1	train_N.fasta	1ebfd6ebef9bbafc044cb5f6944235f693c6eb8cd05d8a0cf930bf6e0552261a	L1	E1	HPClas_train_N_inherited						
R063	HPCLAS_TRAIN_P_003616	1	AIF68385.1	train_P.fasta	31848264be6f8d819d39ddb637421e33e7b9dc698cd015d8fde1309af7825925	L1	E1	HPClas_train_P_inherited						
R064	HPCLAS_TRAIN_P_000989	1	QKQ98959.1	train_P.fasta	818e663c0f312553468db8742b8c6c8f38b8d9c6a4f129036d1a35c88550e2e3	L1	E1	HPClas_train_P_inherited						
R065	HPCLAS_TRAIN_N_004129	0	WP_168535102.1	train_N.fasta	1f5f049b5daa519d1a10aed9f69650ce996d23825a2484cb2adeea9483850c0a	L1	E1	HPClas_train_N_inherited						
R066	HPCLAS_TRAIN_N_003627	0	EIJ41870.1	train_N.fasta	77c5b3e886d2338de2c3c19dd64b558db844e111f67627e937220ac7571906c7	L1	E1	HPClas_train_N_inherited						
R067	HPCLAS_TRAIN_N_001051	0	PAC26655.1	train_N.fasta	232d9d4ddad0eb7852b7789dca466b652bfabf1fe4f29e8a217f41a3b978ce6f	L1	E1	HPClas_train_N_inherited						
R068	HPCLAS_TRAIN_N_003209	0	WP_026995128.1	train_N.fasta	98d4f4178ab249d3762a69fad1632c521922400be7103dae45b5ab89dd2cf6c3	L1	E1	HPClas_train_N_inherited						
R069	HPCLAS_TRAIN_P_005048	1	BCZ94999.1	train_P.fasta	a716bc78a4071ecf36a8f0e8be330f29b17bf32b9d3ffb373d6327903fafc5be	L1	E1	HPClas_train_P_inherited						
R070	HPCLAS_TRAIN_P_003238	1	ADO77563.1	train_P.fasta	532253963ec11e7b3ac6aef507265be5886c1f4bf5a72c6f6efc97f1ed5deb8a	L1	E1	HPClas_train_P_inherited						
R071	HPCLAS_TRAIN_P_006087	1	OKL45710.1	train_P.fasta	46b3f383e49e0cec4f37bdb7afb2d01dd3bc34ba996612df52e7478e84e590c1	L1	E1	HPClas_train_P_inherited						
R072	HPCLAS_TRAIN_P_000120	1	EMA40852.1	train_P.fasta	9a19a0883f30e63c0e0f37432535e79813c7882b47a72d647cef32b3751e6931	L1	E1	HPClas_train_P_inherited						
R073	HPCLAS_TRAIN_N_002291	0	WP_283344497.1	train_N.fasta	72f571020053262bb96136879ed1e9d23e9fa8af0d72565a10d1af236d964bf9	L1	E1	HPClas_train_N_inherited						
R074	HPCLAS_TRAIN_P_005794	1	PWN07706.1	train_P.fasta	72baca51f1eb43026157cde03ab5799226cfb3cdd08c95061b99f26173c77d45	L1	E1	HPClas_train_P_inherited						
R075	HPCLAS_TRAIN_N_003808	0	OQY48040.1	train_N.fasta	6bc2740d46ed918a0e25a8c91f9e596d3abeb1dfd5d644b0024ae5ddf7dd7c9a	L1	E1	HPClas_train_N_inherited						
R076	HPCLAS_TRAIN_P_000868	1	OZC34944.1	train_P.fasta	e0bd9c1822e6b346f3d618dfde1fdf4c48190ae04371dbbe750d5e43051925d1	L1	E1	HPClas_train_P_inherited						
R077	HPCLAS_TRAIN_N_001809	0	AEV34984.1	train_N.fasta	87acb747cee889e0758a8983c4846e2229a1503b4126e68cda54bca05b5a1eb2	L1	E1	HPClas_train_N_inherited						
R078	HPCLAS_TRAIN_P_004990	1	ERG88215.1	train_P.fasta	3a9e11a0d3ca564981a8577841a2103b5a6d114746624984fb442f272f6978ad	L1	E1	HPClas_train_P_inherited						
R079	HPCLAS_TRAIN_N_002410	0	AEV38595.1	train_N.fasta	7762c038e328fec7ccf634144ed810bc685ec5392972c6dc6ca7a507181a8cb7	L1	E1	HPClas_train_N_inherited						
R080	HPCLAS_TRAIN_P_000875	1	WP_219341170.1	train_P.fasta	0b296577dde4ba7e5093921ad601a3ef1cd0326cee972d1e14630fdff1e4f84e	L1	E1	HPClas_train_P_inherited						
R081	HPCLAS_TRAIN_N_002300	0	OQW94300.1	train_N.fasta	fdd83b95122e8952a0bc1c9b01b40e56783fd1b030ebec1d6e8c1042ab03e464	L1	E1	HPClas_train_N_inherited						
R082	HPCLAS_TRAIN_P_004852	1	EJN59612.1	train_P.fasta	f06e524e98b12159e2a2a30e65f93a520375c5aa268b9b556d07185a806d08d4	L1	E1	HPClas_train_P_inherited						
R083	HPCLAS_TRAIN_N_000702	0	EDN69038.1	train_N.fasta	a8a52c484e04b13a49389a8ab4f01ced447aab0ac9a07e51adda487ce18eda9e	L1	E1	HPClas_train_N_inherited						
R084	HPCLAS_TRAIN_N_000675	0	AKG20558.1	train_N.fasta	bcb4fcd27abaefe6e1d1fa6f27d732554a4ee631b6d4fb6a786e116416dab418	L1	E1	HPClas_train_N_inherited						
R085	HPCLAS_TRAIN_P_004415	1	RNA69368.1	train_P.fasta	381d50bade09c45eee4e3ed12d8ea316d7132492299daa9fd08da9d0f3519f45	L1	E1	HPClas_train_P_inherited						
R086	HPCLAS_TRAIN_P_001799	1	AIF67585.1	train_P.fasta	9345b8e5f0de8bf1ae512b878ab6c211dcc4737fe94595d9948129ff4feb5651	L1	E1	HPClas_train_P_inherited						
R087	HPCLAS_TRAIN_P_005549	1	OKL45823.1	train_P.fasta	a7832abf1543753b3c2174545f5c0a612206e26463eec1cf5c17aa7b32b0744b	L1	E1	HPClas_train_P_inherited						
R088	HPCLAS_TRAIN_P_002181	1	QHZ55348.1	train_P.fasta	90f6b6011ffc8977207c2731d7e5a62f6a09fefa0eeb20e94a7f251e4a05f6f4	L1	E1	HPClas_train_P_inherited						
R089	HPCLAS_TRAIN_P_004539	1	ALC17761.1	train_P.fasta	e2bbe2caab1ec2703cbc9694b81bc73f76ae3d7ff76e224db0c1d6be8069f61a	L1	E1	HPClas_train_P_inherited						
R090	HPCLAS_TRAIN_P_002431	1	QRY21924.1	train_P.fasta	e1d4d9f94439aa7975f579e903ef646305306153c246122efeaba7d41d421e49	L1	E1	HPClas_train_P_inherited						
R091	HPCLAS_TRAIN_N_002280	0	WP_026996497.1	train_N.fasta	993b0eb931d801c57c2771194c6cb6148667537a2b1a74bc3fd40379eb95c5c2	L1	E1	HPClas_train_N_inherited						
R092	HPCLAS_TRAIN_N_000220	0	AEV38844.1	train_N.fasta	d896986dcb047247ba278e1abe234860a10f1885f926fb24358cf06401fe6703	L1	E1	HPClas_train_N_inherited						
R093	HPCLAS_TRAIN_N_004981	0	ALB40767.1	train_N.fasta	6e8c281c46a825db6b153a3d55e06270706edea3255dd0507bb07e2d55396148	L1	E1	HPClas_train_N_inherited						
R094	HPCLAS_TRAIN_P_000118	1	ELZ20354.1	train_P.fasta	ca6a43843da5d1fa40400e0e33aff9f964fcbf3e03fe1a66da25eff2b95998e6	L1	E1	HPClas_train_P_inherited						
R095	HPCLAS_TRAIN_P_001224	1	ELZ27020.1	train_P.fasta	29f84cb96ea40a493870d1f808790fc6c33769cc65df61e8b4de393dca45ebc4	L1	E1	HPClas_train_P_inherited						
R096	HPCLAS_TRAIN_P_000871	1	RAW14117.1	train_P.fasta	ae997e4031b71cec23dba6aef7c12e3cbfa14c7ba902b105ca71e2a17dd3d004	L1	E1	HPClas_train_P_inherited						
R097	HPCLAS_TRAIN_N_002241	0	WP_095160770.1	train_N.fasta	e50f14e1e286c1add6cf664ec2399ab7c38b001372ee17a3871045005c040f92	L1	E1	HPClas_train_N_inherited						
R098	HPCLAS_TRAIN_P_003995	1	KII00323.1	train_P.fasta	1808c802e1a07422d504dc81db44c0b23e1b764d30cbeec4a03a811baaaefb3d	L1	E1	HPClas_train_P_inherited						
R099	HPCLAS_TRAIN_N_004484	0	QFZ13418.1	train_N.fasta	3bb19d416306cf53859de52e1fe4491d84e49c117a86b4b7942426ef0f827fd3	L1	E1	HPClas_train_N_inherited						
R100	HPCLAS_TRAIN_P_001480	1	TDL96288.1	train_P.fasta	78e45a7aabebeb624b55761aec449b7da4e155bb1d1c721fabe0b437ad93937b	L1	E1	HPClas_train_P_inherited						
R101	HPCLAS_TRAIN_N_001032	0	QWK90309.1	train_N.fasta	f5c4a9d8abfbc7dbe89520c7fdb2ca0b65a9204ed377b9686275f01272221ccc	L1	E1	HPClas_train_N_inherited						
R102	HPCLAS_TRAIN_P_005281	1	RAW11482.1	train_P.fasta	8c3a7d935ccf5f794c063b36b02bc6dbfaaf8ece07695bda0858b912e2e20d86	L1	E1	HPClas_train_P_inherited						
R103	HPCLAS_TRAIN_N_001967	0	QWK91819.1	train_N.fasta	4d52dec18bdfd6fe2392a4960199cdf0a8670c7e134a4cc4e5b0c999b88b980d	L1	E1	HPClas_train_N_inherited						
R104	HPCLAS_TRAIN_P_004041	1	EEF80309.1	train_P.fasta	5f9adaf1fa702d378af29c92e07760b86e6b359d300d8a5048be3847f9c7d566	L1	E1	HPClas_train_P_inherited						
R105	HPCLAS_TRAIN_P_000237	1	TFH84798.1	train_P.fasta	0d8e3ca997f85ca73f55c9ee7f19a8ba7ee2162327f0a3710d17bb103a453f85	L1	E1	HPClas_train_P_inherited						
R106	HPCLAS_TRAIN_N_001795	0	WP_190907889.1	train_N.fasta	69fe22256e6472d2e38c1b7d7666e4374b5f52e9e5134d3ea7d12f053c707211	L1	E1	HPClas_train_N_inherited						
R107	HPCLAS_TRAIN_N_004437	0	WP_283328751.1	train_N.fasta	846ead13e1aac54888bbb5b4d57051670ae2f480920d738fdad4bc355d64d12c	L1	E1	HPClas_train_N_inherited						
R108	HPCLAS_TRAIN_P_004168	1	QCS44825.1	train_P.fasta	96e652f0af6522f8ebd2cba8ac1212e941455209a00147a4b20aa6439ef5e58b	L1	E1	HPClas_train_P_inherited						
R109	HPCLAS_TRAIN_N_001480	0	AKG23793.1	train_N.fasta	0cf6b81a05516427e8468e482237ccede749fe06ec70306627c9a2fb59e324b8	L1	E1	HPClas_train_N_inherited						
R110	HPCLAS_TRAIN_P_004636	1	QST00377.1	train_P.fasta	8eb6eed613aab5a646d30193d632f5a99b4a31cc042d6808d2b80a8d7b69b01a	L1	E1	HPClas_train_P_inherited						
R111	HPCLAS_TRAIN_N_002135	0	QFZ11169.1	train_N.fasta	58ad58396ad09d7042db4fa1fd4036d8d8abe609371b19dea7bed00cfef377f1	L1	E1	HPClas_train_N_inherited						
R112	HPCLAS_TRAIN_P_006332	1	ELY97264.1	train_P.fasta	d1123768cde327902790534dac91314a1816531c4cbd8b4cbcf6086e61ab3998	L1	E1	HPClas_train_P_inherited						
R113	HPCLAS_TRAIN_P_000516	1	TKV68642.1	train_P.fasta	852517b2eab92e7266ea64208e253ae30374931bcde01d54b36810aa6a048020	L1	E1	HPClas_train_P_inherited						
R114	HPCLAS_TRAIN_N_003300	0	WP_190471136.1	train_N.fasta	20d97654465a2f36b84687bfc26ceb9795f246786f7a6512585cc81ac5c0b1b6	L1	E1	HPClas_train_N_inherited						
R115	HPCLAS_TRAIN_P_005922	1	TFH85235.1	train_P.fasta	76c80a2433fc2be7a4d490d358f15206a26d5f45ac878267e5df70125c5049f9	L1	E1	HPClas_train_P_inherited						
R116	HPCLAS_TRAIN_N_004659	0	YP_294190.1	train_N.fasta	96183ce7887d3af4727dcb33f859deb28c3b3358a95743e4c6d646a7339e3d3f	L1	E1	HPClas_train_N_inherited						
R117	HPCLAS_TRAIN_P_004397	1	QQE79282.1	train_P.fasta	67b3c2fd57b8a5e382f37f588d33127ce385167d636c755ee654f3ad5c811182	L1	E1	HPClas_train_P_inherited						
R118	HPCLAS_TRAIN_N_001400	0	QWK91671.1	train_N.fasta	2c54fbebb0c72028f08645386a8c68df85bcb4ad7806fd6cc551380c90eec2dc	L1	E1	HPClas_train_N_inherited						
R119	HPCLAS_TRAIN_N_003044	0	WP_144080021.1	train_N.fasta	7371976b812ae903be779df3445446e8111ad5567add648113ebb1164d4c03d5	L1	E1	HPClas_train_N_inherited						
R120	HPCLAS_TRAIN_P_005948	1	AGY91081.1	train_P.fasta	9752029fb3c5f2ec4b11f5c23e7a9d78fb55aa9be36cb73c09a726a214f7185f	L1	E1	HPClas_train_P_inherited						
R121	HPCLAS_TRAIN_N_003067	0	AEV37902.1	train_N.fasta	6adac50e88b5323cda9b7419129a8da81102c63225e5136984b65e5e788019e9	L1	E1	HPClas_train_N_inherited						
R122	HPCLAS_TRAIN_N_000519	0	AKG22470.1	train_N.fasta	73176ca193ed8f687926b7f459e1120c38a6e61eac794c88f166b179c7123619	L1	E1	HPClas_train_N_inherited						
R123	HPCLAS_TRAIN_P_004478	1	EMA56056.1	train_P.fasta	0f5d8b34c5aa054f5b58cb07b9d4d10234d22bd18c1619e60f16b875a028a7af	L1	E1	HPClas_train_P_inherited						
R124	HPCLAS_TRAIN_N_002772	0	OBQ36277.1	train_N.fasta	b1d5f6ff6534d77052a23a5a84acfb600b5f0c62e80e24414ad7301e6e5d8dfb	L1	E1	HPClas_train_N_inherited						
R125	HPCLAS_TRAIN_P_006954	1	KGE78841.1	train_P.fasta	976b2776c3c7210bace99376f0adb4ce6080d67e19cf70e489d6da9abf125bc8	L1	E1	HPClas_train_P_inherited						
R126	HPCLAS_TRAIN_P_000783	1	QHZ54369.1	train_P.fasta	0874d7480923e6f157b0d2b358d5f1e782828e2b34a48907b86a459bf55f6f01	L1	E1	HPClas_train_P_inherited						
R127	HPCLAS_TRAIN_P_002916	1	ABE57473.1	train_P.fasta	afa0529c2c8338d8541c34b491b061ed67b19948284465bd219c49eefb2dce9a	L1	E1	HPClas_train_P_inherited						
R128	HPCLAS_TRAIN_N_002805	0	OQY55188.1	train_N.fasta	e77e3204f29dad3f06885f3bc75f5d8562a43f2b0737f62117b29370317f4b48	L1	E1	HPClas_train_N_inherited						
R129	HPCLAS_TRAIN_P_004076	1	OZT73461.1	train_P.fasta	c3266b8964849658300ae9694a583da3d8ce3681816e25acb38d4c74efeab068	L1	E1	HPClas_train_P_inherited						
R130	HPCLAS_TRAIN_N_003949	0	EIJ41178.1	train_N.fasta	e4e6a76e5f8328c0ccfec7b875f3b8411604736131d4103c10067d1fb9248a9b	L1	E1	HPClas_train_N_inherited						
R131	HPCLAS_TRAIN_N_003444	0	QYO72102.1	train_N.fasta	f6be79372c1c47d8788280bad331c74bb65f1bceaa18fd886f2efc2922fb2336	L1	E1	HPClas_train_N_inherited						
R132	HPCLAS_TRAIN_P_001990	1	GKZ15576.1	train_P.fasta	b1acf7b9a8bb7fc68ef10f9c41d9c24101414f60887cfd2debd4cb27103afcb3	L1	E1	HPClas_train_P_inherited						
R133	HPCLAS_TRAIN_N_004736	0	WP_190372103.1	train_N.fasta	dc7ff2ee01caeb13b3c6db22b6d63a9a37bf9c3bbefc4a832bff7da6054d86a0	L1	E1	HPClas_train_N_inherited						
R134	HPCLAS_TRAIN_P_006145	1	RJK98512.1	train_P.fasta	d1e1952549b00538660c32e70e9bc0ce41ab4f8228908248427a3b3893e83e50	L1	E1	HPClas_train_P_inherited						
